mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_tile_id,support,width_cells,biome,rationale,prior_nearest_distance_squared,prior_nearest_ties,previous_proposal,patch,category
653,484,-20096,-31488,-19968,-31360,0/0/0/0,T035,D++D-+H,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T035,1,ordinary_land
654,484,-19968,-31488,-19840,-31360,0/0/0/0,T035,D++D-+H+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T035,1,ordinary_land
651,485,-20352,-31360,-20224,-31232,0/0/0/0,T033,D++D-+H,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
652,485,-20224,-31360,-20096,-31232,0/0/0/0,T033,D++D-+H,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,1,ordinary_land
653,485,-20096,-31360,-19968,-31232,0/0/0/0,T035,D++D-+H,4,blueMountains,no nearby map transition,4,,T035,1,ordinary_land
654,485,-19968,-31360,-19840,-31232,0/0/0/0,T035,D++H+V,4,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
650,486,-20480,-31232,-20352,-31104,0/0/0/0,T033,D++D-+H+V,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
651,486,-20352,-31232,-20224,-31104,0/0/0/0,T033,D++D-+H,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T033,1,ordinary_land
652,486,-20224,-31232,-20096,-31104,0/0/0/0,T035,D++D-+H,5,blueMountains,no nearby map transition,5,T033|T035,T035,1,ordinary_land
653,486,-20096,-31232,-19968,-31104,0/0/0/0,T035,D++H,3,blueMountains,no nearby map transition,2,,T035,1,ordinary_land
654,486,-19968,-31232,-19840,-31104,0/0/0/0,T035,D++H+V,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
650,487,-20480,-31104,-20352,-30976,0/0/0/0,T035,D++D-+V,3,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
651,487,-20352,-31104,-20224,-30976,0/0/0/0,T035,D++D-,4,blueMountains,no nearby map transition,4,,T035,1,ordinary_land
652,487,-20224,-31104,-20096,-30976,0/0/0/0,T035,D+,3,blueMountains,no nearby map transition,4,,T035,1,ordinary_land
653,487,-20096,-31104,-19968,-30976,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
650,488,-20480,-30976,-20352,-30848,0/0/0/0,T035,D-+V,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
651,488,-20352,-30976,-20224,-30848,0/0/0/0,T035,D+,3,blueMountains,no nearby map transition,4,,T035,1,ordinary_land
652,488,-20224,-30976,-20096,-30848,0/0/0/0,T035,D+,4,blueMountains,no nearby map transition,4,,T035,1,ordinary_land
653,488,-20096,-30976,-19968,-30848,0/0/0/0,T035,D+,3,blueMountains,no nearby map transition,2,,T035,1,ordinary_land
654,488,-19968,-30976,-19840,-30848,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
650,489,-20480,-30848,-20352,-30720,0/0/0/0,T035,V,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
652,489,-20224,-30848,-20096,-30720,0/0/0/0,T035,D+,3,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
653,489,-20096,-30848,-19968,-30720,0/0/0/0,T035,D+,4,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
650,490,-20480,-30720,-20352,-30592,0/0/0/0,T035,V,5,blueMountains,no nearby map transition,1,,T035,1,ordinary_land
667,483,-18304,-31616,-18176,-31488,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,1,,T035,2,ordinary_land
641,485,-21632,-31360,-21504,-31232,0/0/0/0,T033,D+,5,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,3,ordinary_land
642,485,-21504,-31360,-21376,-31232,0/0/0/0,T033,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,3,ordinary_land
643,485,-21376,-31360,-21248,-31232,0/0/0/0,T033,D+,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,3,ordinary_land
641,486,-21632,-31232,-21504,-31104,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T033,3,ordinary_land
642,486,-21504,-31232,-21376,-31104,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,3,ordinary_land
643,486,-21376,-31232,-21248,-31104,0/0/0/0,T033,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,3,ordinary_land
644,486,-21248,-31232,-21120,-31104,0/0/0/0,T033,D+,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,3,ordinary_land
642,487,-21504,-31104,-21376,-30976,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",8,,T033,3,ordinary_land
643,487,-21376,-31104,-21248,-30976,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",9,,T033,3,ordinary_land
644,487,-21248,-31104,-21120,-30976,0/0/0/0,T033,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,3,ordinary_land
645,487,-21120,-31104,-20992,-30976,0/0/0/0,T033,D+,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,3,ordinary_land
643,488,-21376,-30976,-21248,-30848,0/0/0/0,T035,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",9,,T035,3,ordinary_land
644,488,-21248,-30976,-21120,-30848,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,4,,T035,3,ordinary_land
645,488,-21120,-30976,-20992,-30848,0/0/0/0,T035,D+,4,blueMountains,no nearby map transition,1,,T035,3,ordinary_land
644,489,-21248,-30848,-21120,-30720,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,4,,T035,3,ordinary_land
645,489,-21120,-30848,-20992,-30720,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,1,,T035,3,ordinary_land
645,490,-21120,-30720,-20992,-30592,0/0/0/0,T035,D+,5,blueMountains,no nearby map transition,1,,T035,3,ordinary_land
627,505,-23424,-28800,-23296,-28672,0/0/0/0,T035,D-,2,blueMountains,no nearby map transition,2,,T035,6,ordinary_land
627,506,-23424,-28672,-23296,-28544,0/0/0/0,T035,D-+H,2,blueMountains,no nearby map transition,1,,T035,6,ordinary_land
637,506,-22144,-28672,-22016,-28544,0/0/0/0,T050,V,4,blueMountains,no nearby map transition,4,,T050,7,ordinary_land
638,506,-22016,-28672,-21888,-28544,0/0/0/0,T050,V,4,blueMountains,no nearby map transition,4,,T050,7,ordinary_land
634,507,-22528,-28544,-22400,-28416,0/0/0/0,T050,D++V,3,blueMountains,no nearby map transition,4,T035|T050,T050,7,ordinary_land
635,507,-22400,-28544,-22272,-28416,0/0/0/0,T050,D++V,3,blueMountains,no nearby map transition,4,,T050,7,ordinary_land
636,507,-22272,-28544,-22144,-28416,0/0/0/0,T050,D++V,2,blueMountains,no nearby map transition,2,,T050,7,ordinary_land
637,507,-22144,-28544,-22016,-28416,0/0/0/0,T050,D++V,3,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
638,507,-22016,-28544,-21888,-28416,0/0/0/0,T050,V,4,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
628,508,-23296,-28416,-23168,-28288,0/0/0/0,T035,junction,0,blueMountains,no nearby map transition,1,,T035,7,ordinary_land
629,508,-23168,-28416,-23040,-28288,0/0/0/0,T035,junction,3,blueMountains,no nearby map transition,1,,T035,7,ordinary_land
633,508,-22656,-28416,-22528,-28288,0/0/0/0,T050,D++V,2,blueMountains,no nearby map transition,2,,T050,7,ordinary_land
634,508,-22528,-28416,-22400,-28288,0/0/0/0,T050,D++V,2,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
635,508,-22400,-28416,-22272,-28288,0/0/0/0,T050,D++V,3,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
636,508,-22272,-28416,-22144,-28288,0/0/0/0,T050,D++V,3,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
628,509,-23296,-28288,-23168,-28160,0/0/0/0,T035,junction,4,blueMountains,no nearby map transition,4,,T035,7,ordinary_land
629,509,-23168,-28288,-23040,-28160,0/0/0/0,T035,junction,7,blueMountains,no nearby map transition,4,,T035,7,ordinary_land
630,509,-23040,-28288,-22912,-28160,0/0/0/0,T050,D++H+V,3,blueMountains,no nearby map transition,4,T035|T050,T050,7,ordinary_land
631,509,-22912,-28288,-22784,-28160,0/0/0/0,T050,D++H+V,3,blueMountains,no nearby map transition,4,T035|T050,T050,7,ordinary_land
632,509,-22784,-28288,-22656,-28160,0/0/0/0,T050,D++H+V,2,blueMountains,no nearby map transition,2,,T050,7,ordinary_land
633,509,-22656,-28288,-22528,-28160,0/0/0/0,T050,D++H+V,2,blueMountains,no nearby map transition,1,,T050,7,ordinary_land
628,510,-23296,-28160,-23168,-28032,0/0/0/0,T050,junction,3,blueMountains,no nearby map transition,5,,T050,7,ordinary_land
629,510,-23168,-28160,-23040,-28032,0/0/0/0,T050,junction,4,blueMountains,no nearby map transition,2,,T050,7,ordinary_land
630,510,-23040,-28160,-22912,-28032,0/0/0/0,T050,H+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
631,510,-22912,-28160,-22784,-28032,0/0/0/0,T050,D++H+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
632,510,-22784,-28160,-22656,-28032,0/0/0/0,T050,D++H+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
628,511,-23296,-28032,-23168,-27904,0/0/0/0,T050,D++H,4,blueMountains,no nearby map transition,4,,T050,7,ordinary_land
629,511,-23168,-28032,-23040,-27904,0/0/0/0,T050,D++H+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
627,512,-23424,-27904,-23296,-27776,0/0/0/0,T050,D+,5,blueMountains,no nearby map transition,9,,T050,7,ordinary_land
628,512,-23296,-27904,-23168,-27776,0/0/0/0,T050,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T050,7,ordinary_land
629,512,-23168,-27904,-23040,-27776,0/0/0/0,T050,D++V,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
627,513,-23424,-27776,-23296,-27648,0/0/0/0,T050,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",8,,T050,7,ordinary_land
628,513,-23296,-27776,-23168,-27648,0/0/0/0,T050,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T050,7,ordinary_land
629,513,-23168,-27776,-23040,-27648,0/0/0/0,T050,D++V,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
628,514,-23296,-27648,-23168,-27520,0/0/0/0,T050,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T050,7,ordinary_land
629,514,-23168,-27648,-23040,-27520,0/0/0/0,T050,D++V,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T050,7,ordinary_land
589,514,-28288,-27648,-28160,-27520,0/0/0/0,T042,D+,5,blueMountains,no nearby map transition,1,,T042,8,ordinary_land
593,518,-27776,-27136,-27648,-27008,0/0/0/0,T042,D+,5,blueMountains,no nearby map transition,1,,T042,9,ordinary_land
585,522,-28800,-26624,-28672,-26496,0/0/0/0,T042,D-,3,blueMountains,no nearby map transition,1,,T042,11,ordinary_land
586,522,-28672,-26624,-28544,-26496,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,2,,T042,11,ordinary_land
585,523,-28800,-26496,-28672,-26368,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,2,,T042,11,ordinary_land
586,523,-28672,-26496,-28544,-26368,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,1,,T042,11,ordinary_land
600,536,-26880,-24832,-26752,-24704,0/0/0/0,T042,D-,5,blueMountains,no nearby map transition,1,,T042,13,ordinary_land
599,537,-27008,-24704,-26880,-24576,0/0/0/0,T042,D-,5,blueMountains,no nearby map transition,5,,T042,13,ordinary_land
600,537,-26880,-24704,-26752,-24576,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,2,,T042,13,ordinary_land
601,537,-26752,-24704,-26624,-24576,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,1,,T042,13,ordinary_land
598,538,-27136,-24576,-27008,-24448,0/0/0/0,T042,D-,5,blueMountains,no nearby map transition,9,,T042,13,ordinary_land
599,538,-27008,-24576,-26880,-24448,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,8,,T042,13,ordinary_land
600,538,-26880,-24576,-26752,-24448,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,4,,T042,13,ordinary_land
597,539,-27264,-24448,-27136,-24320,0/0/0/0,T076,D-,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T076,13,ordinary_land
598,539,-27136,-24448,-27008,-24320,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,4,,T042,13,ordinary_land
599,539,-27008,-24448,-26880,-24320,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,4,,T042,13,ordinary_land
596,540,-27392,-24320,-27264,-24192,0/0/0/0,T076,D-,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T076,13,ordinary_land
597,540,-27264,-24320,-27136,-24192,0/0/0/0,T076,D-,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T076,13,ordinary_land
598,540,-27136,-24320,-27008,-24192,0/0/0/0,T042,D-,4,blueMountains,no nearby map transition,1,,T042,13,ordinary_land
598,547,-27136,-23424,-27008,-23296,0/0/0/0,T042,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T042,14,ordinary_land
602,551,-26624,-22912,-26496,-22784,0/0/0/0,T042,D+,5,blueMountains,no nearby map transition,1,,T042,15,ordinary_land
1483,564,86144,-21248,86272,-21120,0/0/0/0,T054,D+,5,tundra,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T054,16,ordinary_land
1484,564,86272,-21248,86400,-21120,0/0/0/0,T054,D+,4,tundra,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T054,16,ordinary_land
1484,565,86272,-21120,86400,-20992,0/0/0/0,T054,D+,5,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T054,16,ordinary_land
1485,565,86400,-21120,86528,-20992,0/0/0/0,T054,D+,4,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T054,16,ordinary_land
1485,566,86400,-20992,86528,-20864,0/0/0/0,T054,D+,5,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",9,,T054,16,ordinary_land
1486,566,86528,-20992,86656,-20864,0/0/0/0,T054,D+,4,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T054,16,ordinary_land
1486,567,86528,-20864,86656,-20736,0/0/0/0,T054,D+,5,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T054,16,ordinary_land
1487,567,86656,-20864,86784,-20736,0/0/0/0,T054,D+,4,greyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T054,16,ordinary_land
1487,568,86656,-20736,86784,-20608,0/0/0/0,T062,D+,5,greyMountains,no nearby map transition,1,,T062,16,ordinary_land
1116,590,39168,-17920,39296,-17792,0/0/0/0,T063,D-+H,3,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T063,18,supported_biome_transition
1117,590,39296,-17920,39424,-17792,0/0/0/0,T063,D-+H,4,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1118,590,39424,-17920,39552,-17792,0/0/0/0,T063,D-+H,5,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1119,590,39552,-17920,39680,-17792,0/0/0/0,T063,H,8,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1120,590,39680,-17920,39808,-17792,0/0/0/0,T063,H,8,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1121,590,39808,-17920,39936,-17792,0/0/0/0,T063,H,8,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1122,590,39936,-17920,40064,-17792,0/0/0/0,T057,H,8,angmar,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1123,590,40064,-17920,40192,-17792,0/0/0/0,T057,H,8,angmar,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T057,18,supported_biome_transition
1115,591,39040,-17792,39168,-17664,0/0/0/0,T063,D-,3,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T063,18,supported_biome_transition
1116,591,39168,-17792,39296,-17664,0/0/0/0,T063,D-,4,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,2,,T063,18,supported_biome_transition
1117,591,39296,-17792,39424,-17664,0/0/0/0,T063,D-,5,mistyMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,4,,T057,18,supported_biome_transition
1114,592,38912,-17664,39040,-17536,0/0/0/0,T063,D-+V,3,mistyMountains,no nearby map transition,1,,T063,18,ordinary_land
1115,592,39040,-17664,39168,-17536,0/0/0/0,T063,D-,4,mistyMountains,no nearby map transition,2,,T063,18,ordinary_land
1116,592,39168,-17664,39296,-17536,0/0/0/0,T063,D-,5,mistyMountains,no nearby map transition,5,,T063,18,ordinary_land
1114,593,38912,-17536,39040,-17408,0/0/0/0,T063,D-+V,4,mistyMountains,no nearby map transition,1,,T063,18,ordinary_land
1115,593,39040,-17536,39168,-17408,0/0/0/0,T063,D-,5,mistyMountains,no nearby map transition,4,,T063,18,ordinary_land
1114,594,38912,-17408,39040,-17280,0/0/0/0,T063,D-+V,5,mistyMountains,no nearby map transition,1,,T063,18,ordinary_land
1114,595,38912,-17280,39040,-17152,0/0/0/0,T063,V,8,mistyMountains,no nearby map transition,1,,T063,18,ordinary_land
1114,596,38912,-17152,39040,-17024,0/0/0/0,T063,V,8,mistyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T063,18,ordinary_land
1114,597,38912,-17024,39040,-16896,0/0/0/0,T063,V,8,mistyMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T063,18,ordinary_land
621,609,-24192,-15488,-24064,-15360,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,610,-24192,-15360,-24064,-15232,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,611,-24192,-15232,-24064,-15104,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,612,-24192,-15104,-24064,-14976,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,613,-24192,-14976,-24064,-14848,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,614,-24192,-14848,-24064,-14720,0/0/0/0,T070,V,8,blueMountains,no nearby map transition,1,,T070,19,ordinary_land
621,615,-24192,-14720,-24064,-14592,0/0/0/0,T070,D-+V,5,blueMountains,no nearby map transition,1,T070|T089,T070,19,ordinary_land
620,616,-24320,-14592,-24192,-14464,0/0/0/0,T089,D-,5,blueMountains,no nearby map transition,1,,T089,22,ordinary_land
619,617,-24448,-14464,-24320,-14336,0/0/0/0,T089,D-,5,blueMountains,no nearby map transition,1,,T089,23,ordinary_land
618,618,-24576,-14336,-24448,-14208,0/0/0/0,T089,D-,5,blueMountains,no nearby map transition,1,,T089,24,ordinary_land
624,618,-23808,-14336,-23680,-14208,0/0/0/0,T070,junction,1,blueMountains,no nearby map transition,1,T070|T096,T070,25,ordinary_land
617,619,-24704,-14208,-24576,-14080,0/0/0/0,T089,D-,5,blueMountains,no nearby map transition,1,,T089,26,ordinary_land
620,624,-24320,-13568,-24192,-13440,0/0/0/0,T096,D++H+V,1,blueMountains,no nearby map transition,1,,T096,27,ordinary_land
619,625,-24448,-13440,-24320,-13312,0/0/0/0,T096,D++H,2,blueMountains,no nearby map transition,2,,T096,27,ordinary_land
620,625,-24320,-13440,-24192,-13312,0/0/0/0,T096,D++H+V,2,blueMountains,no nearby map transition,1,,T096,27,ordinary_land
632,630,-22784,-12800,-22656,-12672,0/0/0/0,T096,H,8,blueMountains,no nearby map transition,1,,T096,28,ordinary_land
633,630,-22656,-12800,-22528,-12672,0/0/0/0,T096,H,8,blueMountains,no nearby map transition,4,,T096,28,ordinary_land
634,630,-22528,-12800,-22400,-12672,0/0/0/0,T096,H,8,blueMountains,no nearby map transition,5,,T096,28,ordinary_land
635,630,-22400,-12800,-22272,-12672,0/0/0/0,T096,H,8,blueMountains,no nearby map transition,8,,T096,28,ordinary_land
636,630,-22272,-12800,-22144,-12672,0/0/0/0,T096,H,8,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",10,T096|T101,T096,28,ordinary_land
637,630,-22144,-12800,-22016,-12672,0/0/0/0,T101,H,8,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",5,,T101,28,ordinary_land
638,630,-22016,-12800,-21888,-12672,0/0/0/0,T101,H,8,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T101,28,ordinary_land
639,630,-21888,-12800,-21760,-12672,0/0/0/0,T101,H,8,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T101,28,ordinary_land
633,631,-22656,-12672,-22528,-12544,0/0/0/0,T096,H,7,blueMountains,no nearby map transition,1,,T096,28,ordinary_land
634,631,-22528,-12672,-22400,-12544,0/0/0/0,T096,H,7,blueMountains,no nearby map transition,2,,T096,28,ordinary_land
635,631,-22400,-12672,-22272,-12544,0/0/0/0,T096,H,7,blueMountains,no nearby map transition,4,,T096,28,ordinary_land
636,631,-22272,-12672,-22144,-12544,0/0/0/0,T096,H,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",5,,T096,28,ordinary_land
637,631,-22144,-12672,-22016,-12544,0/0/0/0,T101,H,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T101,28,ordinary_land
638,631,-22016,-12672,-21888,-12544,0/0/0/0,T101,H,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T101,28,ordinary_land
636,654,-22272,-9728,-22144,-9600,0/0/0/0,T108,D+,3,blueMountains,no nearby map transition,2,,T108,34,ordinary_land
637,654,-22144,-9728,-22016,-9600,0/0/0/0,T108,junction,4,blueMountains,no nearby map transition,4,,T108,34,ordinary_land
636,655,-22272,-9600,-22144,-9472,0/0/0/0,T108,D++H,2,blueMountains,no nearby map transition,1,,T108,34,ordinary_land
637,655,-22144,-9600,-22016,-9472,0/0/0/0,T108,junction,3,blueMountains,no nearby map transition,1,,T108,34,ordinary_land
1425,662,78720,-8704,78848,-8576,0/0/0/0,T111,V,8,mirkwoodMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,,T100,37,supported_biome_transition
1425,663,78720,-8576,78848,-8448,0/0/0/0,T111,V,8,mirkwoodMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,2,,T100,37,supported_biome_transition
1426,663,78848,-8576,78976,-8448,0/0/0/0,T111,V,5,mirkwoodMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,1,T100|T111,T111,37,supported_biome_transition
1425,664,78720,-8448,78848,-8320,0/0/0/0,T111,V,8,mirkwoodMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,5,T100|T111,T111,37,supported_biome_transition
1426,664,78848,-8448,78976,-8320,0/0/0/0,T111,V,5,mirkwoodMountains,four or more consistent original boundary edges on connected map transition; same-biome reach,2,,T111,37,supported_biome_transition
1425,665,78720,-8320,78848,-8192,0/0/0/0,T111,V,8,mirkwoodMountains,no nearby map transition,8,,T111,37,ordinary_land
1426,665,78848,-8320,78976,-8192,0/0/0/0,T111,V,5,mirkwoodMountains,no nearby map transition,5,,T111,37,ordinary_land
1425,666,78720,-8192,78848,-8064,0/0/0/0,T111,V,8,mirkwoodMountains,no nearby map transition,5,,T111,37,ordinary_land
1426,666,78848,-8192,78976,-8064,0/0/0/0,T111,V,5,mirkwoodMountains,no nearby map transition,4,,T111,37,ordinary_land
