mask_x,mask_y,world_x_min,world_x_max_exclusive,world_z_min,world_z_max_exclusive,previous_tile,previous_rgba,proposed_tile_id,proposed_rgba,distance_squared_T149,distance_squared_T132,original_witness_T149,original_witness_T132,equal_distance_tie,needs_human_approval,background_name,rationale
956,707,18688,18816,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"956,708","955,706",False,True,loneLands,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
957,707,18816,18944,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"957,708","957,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
958,707,18944,19072,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"958,708","958,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
959,707,19072,19200,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"959,708","959,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
960,707,19200,19328,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"960,708","960,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
961,707,19328,19456,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"961,708","961,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
962,707,19456,19584,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"962,708","962,705",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
963,707,19584,19712,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"963,708","964,706",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
964,707,19712,19840,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"964,708","964,706",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
965,707,19840,19968,-2944,-2816,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"964,708","965,706",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
953,708,18304,18432,-2816,-2688,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"954,709","953,707",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
954,708,18432,18560,-2816,-2688,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"955,708","953,707",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
965,708,19840,19968,-2816,-2688,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"964,708","966,707",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
966,708,19968,20096,-2816,-2688,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"965,709","966,707",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
952,709,18176,18304,-2688,-2560,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"954,709","952,708",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
953,709,18304,18432,-2688,-2560,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"954,709","952,708",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
966,709,19968,20096,-2688,-2560,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"965,709","967,708",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
967,709,20096,20224,-2688,-2560,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"966,710","967,708",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
952,710,18176,18304,-2560,-2432,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"953,711","951,710",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
953,710,18304,18432,-2560,-2432,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"954,710","951,710",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
967,710,20096,20224,-2560,-2432,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"966,710","968,709",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
968,710,20224,20352,-2560,-2432,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"967,711","968,709",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
952,711,18176,18304,-2432,-2304,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"953,711","951,710",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
968,711,20224,20352,-2432,-2304,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"967,711","969,711",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
968,712,20224,20352,-2304,-2176,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"967,712","969,712",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
968,713,20224,20352,-2176,-2048,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"967,713","969,712",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
969,713,20352,20480,-2176,-2048,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"968,714","969,712",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
969,714,20352,20480,-2048,-1920,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"968,714","970,713",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,714,20480,20608,-2048,-1920,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"968,714","970,713",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
969,715,20352,20480,-1920,-1792,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"968,715","971,715",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,715,20480,20608,-1920,-1792,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"969,716","971,715",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,716,20480,20608,-1792,-1664,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"969,716","971,716",True,True,midgewater,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
970,717,20480,20608,-1664,-1536,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"969,717","971,716",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,717,20608,20736,-1664,-1536,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"969,717","971,716",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,718,20480,20608,-1536,-1408,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"969,718","972,718",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,718,20608,20736,-1536,-1408,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"969,718","972,718",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,719,20480,20608,-1408,-1280,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"969,719","972,719",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,719,20608,20736,-1408,-1280,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"970,720","972,719",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,720,20608,20736,-1280,-1152,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"970,720","972,719",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,720,20736,20864,-1280,-1152,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"971,721","972,719",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,721,20736,20864,-1152,-1024,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"971,721","973,720",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,721,20864,20992,-1152,-1024,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"972,722","973,720",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,722,20864,20992,-1024,-896,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"972,722","974,721",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,722,20992,21120,-1024,-896,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"973,723","974,721",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,723,20992,21120,-896,-768,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"973,723","975,722",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
975,723,21120,21248,-896,-768,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,723","975,722",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,724,20992,21120,-768,-640,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"973,724","976,724",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
975,724,21120,21248,-768,-640,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,724","976,724",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,725,20992,21120,-640,-512,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"973,725","976,725",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
975,725,21120,21248,-640,-512,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,725","976,725",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,726,20992,21120,-512,-384,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"973,726","976,726",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
975,726,21120,21248,-512,-384,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,726","976,726",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,727,20992,21120,-384,-256,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"973,727","975,728",False,True,loneLands,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
975,727,21120,21248,-384,-256,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,727","976,727",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,728,20736,20864,-256,-128,GAP,"0,0,0,0",T149,"0,0,149,255",1,5,"972,727","974,729",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,728,20864,20992,-256,-128,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"973,727","974,729",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
974,728,20992,21120,-256,-128,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"973,727","975,728",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,729,20736,20864,-128,0,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"971,729","974,729",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,729,20864,20992,-128,0,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"973,727","974,729",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,730,20736,20864,0,128,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"971,730","974,730",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,730,20864,20992,0,128,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"971,730","974,730",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,731,20736,20864,128,256,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"971,731","973,732",False,True,loneLands,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
973,731,20864,20992,128,256,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"971,731","974,731",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,732,20480,20608,256,384,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"970,731","970,734",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,732,20608,20736,256,384,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"971,731","972,733",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
972,732,20736,20864,256,384,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"971,731","973,732",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
969,733,20352,20480,384,512,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"969,732","970,734",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
970,733,20480,20608,384,512,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"969,732","970,734",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
971,733,20608,20736,384,512,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"971,731","972,733",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
967,734,20096,20224,512,640,GAP,"0,0,0,0",T149,"0,0,149,255",1,4,"967,733","967,736",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
968,734,20224,20352,512,640,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"968,733","969,735",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
969,734,20352,20480,512,640,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"968,733","970,734",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
966,735,19968,20096,640,768,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"966,734","967,736",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
967,735,20096,20224,640,768,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"966,734","967,736",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
968,735,20224,20352,640,768,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"968,733","969,735",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
962,736,19456,19584,768,896,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"962,735","963,737",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
963,736,19584,19712,768,896,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"963,735","963,737",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
964,736,19712,19840,768,896,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"964,735","964,737",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
965,736,19840,19968,768,896,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"965,735","965,737",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
966,736,19968,20096,768,896,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"965,735","967,736",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
959,737,19072,19200,896,1024,GAP,"0,0,0,0",T149,"0,0,149,255",1,2,"959,736","960,738",False,True,midgewater,Closer to ORIGINAL T149 cell centers; bounded reviewed land-only seam; no filled cell used as source
960,737,19200,19328,896,1024,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"960,736","960,738",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
961,737,19328,19456,896,1024,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"961,736","961,738",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
962,737,19456,19584,896,1024,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"961,736","963,737",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
959,738,19072,19200,1024,1152,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"958,737","960,738",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
