waypoint	hidden	map_x	map_y	world_x	world_z	baseline_tile	v2_tile
THE_TROLLSHAWS	false	1130.0	703.0	41024	-3392	T123	T123
CARN_DUM	false	1010.0	503.0	25664	-28992	T040	T040
WEST_GATE	false	1134.0	873.0	41536	18368	T239	T239
OST_IN_EDHIL	false	1112.0	870.0	38720	17984	T218	T218
NORTH_DUNLAND	false	1073.0	946.0	33728	27712	T267	T267
SOUTH_DUNLAND	false	1070.0	1027.0	33344	38080	T299	T299
FORDS_OF_ISEN	false	1102.0	1087.0	37440	45760	T321	T321
DWARROWVALE	false	1080.0	990.0	34624	33344	T279	T279
WULFBURG	false	1077.0	1098.0	34240	47168	T320	T320
LOND_DAER	false	867.0	1004.0	7360	35136	T284	T284
ENEDWAITH_ROAD	false	1025.0	1050.0	27584	41024	T306	T306
MOUTHS_ISEN	false	871.0	1127.0	7872	50880	T330	T330
ISENGARD	false	1102.0	1061.5	37440	42496	T315	T315
CAPE_OF_FOROCHEL	false	786.0	390.0	-3008	-43456	T024	T024
SOUTH_FOROCHEL	false	825.0	459.0	1984	-34624	T034	T034
WITHERED_HEATH	false	1441.0	556.0	80832	-22208	T054	T054
MOUNT_GUNDABAD	false	1195.0	592.0	49344	-17600	T068	T068
MOUNT_GRAM	false	1106.0	589.0	37952	-17984	T063	T063
HIGH_PASS	false	1222.0	706.0	52800	-3008	T133	T133
MOUNT_CARADHRAS	false	1166.0	845.0	45632	14784	T220	T220
MOUNT_CELEBDIL	false	1158.0	864.0	44608	17216	T232	T232
MOUNT_FANUIDHOL	false	1191.0	854.0	48832	15936	T223	T223
MOUNT_METHEDRAS	false	1111.0	1031.0	38592	38592	T301	T301
GOBLIN_TOWN	false	1220.0	696.0	52544	-4288	T127	T127
EAGLES_EYRIE	false	1246.0	685.0	55872	-5696	T110	T110
DAINS_HALLS	false	1262.0	554.0	57920	-22464	T055	T055
SCATHA	false	1335.0	562.0	67264	-21440	T062	T062
CARROCK	false	1281.0	681.0	60352	-6208	T104	T104
OLD_FORD	false	1284.0	702.0	60736	-3520		
GLADDEN_FIELDS	false	1294.0	790.0	62016	7744	T207	T207
DIMRILL_DALE	false	1177.0	864.0	47040	17216	T233	T233
FIELD_OF_CELEBRANT	false	1281.0	960.0	60352	29504	T266	T266
RAUROS	false	1345.0	1130.0	68544	51264	T339	T339
BEORN	false	1302.0	680.0	63040	-6336	T122	T122
FOREST_GATE	false	1303.0	655.0	63168	-9536	T106	T106
FRAMSBURG	false	1251.0	590.0	56512	-17856	T061	T061
ANDUIN_CROSSROADS	false	1285.0	905.0	60864	22464	T250	T250
EAST_RHOVANION_ROAD	false	1354.0	966.0	69696	30272	T270	T270
THRANDUIL_HALLS	false	1420.0	633.0	78144	-12352	T100	T100
DOL_GULDUR	false	1339.0	894.0	67776	21056	T246	T246
MIRKWOOD_MOUNTAINS	false	1430.0	672.0	79424	-7360	T111	T111
RHOSGOBEL	false	1343.0	762.0	68288	4160	T190	T190
ENCHANTED_RIVER	false	1396.0	650.0	75072	-10176	T102	T102
RIVER_GATE	false	1474.0	696.0	85056	-4288	T128	T128
EAST_BIGHT	false	1437.0	824.0	80320	12096	T211	T211
OLD_RHOVANION	false	1524.0	870.0	91456	17984	T235	T235
DORWINION_CROSSROADS	false	1680.0	882.0	111424	19520	T241	T241
EREBOR	false	1463.0	609.0	83648	-15424	T075	T075
DALE_CITY	false	1464.0	615.0	83776	-14656	T087	T087
LONG_LAKE	false	1461.0	632.0	83392	-12480	T091	T091
RUNNING_FORD	false	1534.0	749.0	92736	2496	T153	T153
REDWATER_FORD	false	1651.0	690.0	107712	-5056	T115	T115
DALE_CROSSROADS	false	1567.0	680.0	96960	-6336	T117	T117
DALE_PORT	false	1657.0	768.0	108480	4928	T162	T162
WEST_PEAK	false	1588.0	608.0	99648	-15552	T086	T086
EAST_PEAK	false	1729.0	610.0	117696	-15296	T085	T085
CARAS_GALADHON	false	1242.0	902.0	55360	22080	T237	T237
CERIN_AMROTH	false	1230.0	897.0	53824	21440	T231	T231
NIMRODEL	false	1198.0	894.0	49728	21056	T247	T247
DERNDINGLE	false	1163.0	1030.0	45248	38464	T300	T300
WELLINGHALL	false	1153.0	1014.0	43968	36416	T283	T283
TREEBEARD_HILL	false	1200.0	1030.0	49984	38464	T287	T287
WOLD	false	1285.0	1015.0	60864	36544	T286	T286
EDORAS	false	1190.0	1148.0	48704	53568	T348	T348
HELMS_DEEP	false	1128.0	1115.0	40768	49344	T335	T335
HELMS_CROSSROADS	false	1136.0	1108.0	41792	48448	T323	T323
URUK_HIGHLANDS	false	1131.0	1057.0	41152	41920	T311	T311
MERING_STREAM	false	1299.0	1202.0	62656	60480	T359	T359
ENTWADE	false	1239.0	1104.0	54976	47936	T324	T324
EASTMARK	false	1286.0	1130.0	60992	51264	T328	T328
ALDBURG	false	1223.0	1178.0	52928	57408	T354	T354
GRIMSLADE	false	1153.0	1122.0	43968	50240	T325	T325
CORSAIRS_LANDING	false	992.0	1113.0	23360	49088	T333	T333
FRECA_HOLD	false	1099.0	1144.0	37056	53056	T337	T337
DUNHARROW	false	1175.0	1154.0	46784	54336	T347	T347
TARLANG	false	1205.0	1213.0	50624	61888	T372	T372
RAS_MORTHIL	false	845.0	1332.0	4544	77120	T419	T419
MINAS_TIRITH	false	1419.0	1247.0	78016	66240	T388	T388
CAIR_ANDROS	false	1427.0	1207.0	79040	61120	T370	T370
HALIFIRIEN	false	1309.0	1205.0	63936	60864	T366	T366
CALENHAD	false	1330.0	1212.0	66624	61760	T365	T365
MINRIMMON	false	1350.0	1219.0	69184	62656	T367	T367
ERELAS	false	1367.0	1222.0	71360	63040	T368	T368
NARDOL	false	1384.0	1228.0	73536	63808	T371	T371
EILENACH	false	1402.0	1228.0	75840	63808	T376	T376
AMON_DIN	false	1416.0	1231.0	77632	64192	T379	T379
OSGILIATH_WEST	false	1428.0	1246.0	79168	66112	T384	T384
OSGILIATH_EAST	false	1435.0	1246.0	80064	66112	T386	T386
EMYN_ARNEN	false	1437.0	1267.0	80320	68800	T402	T402
HENNETH_ANNUN	false	1443.0	1192.0	81088	59200	T375	T375
CROSSROADS_ITHILIEN	false	1450.0	1236.0	81984	64832	T375	T375
NORTH_ITHILIEN	false	1447.0	1151.0	81600	53952	T352	T352
CROSSINGS_OF_POROS	false	1442.0	1370.0	80960	81984	T435	T435
PELARGIR	false	1390.0	1348.0	74304	79168	T421	T421
LINHIR	false	1292.0	1342.0	61760	78400	T413	T413
ANDUIN_MOUTH	false	1273.0	1369.0	59328	81856	T431	T431
IMLOTH_MELUI	false	1397.0	1254.0	75200	67136	T389	T389
CROSSINGS_ERUI	false	1412.0	1272.0	77120	69440	T398	T398
CALEMBEL	false	1235.0	1248.0	54464	66368	T383	T383
ETHRING	false	1256.0	1259.0	57152	67776	T385	T385
ERECH	false	1186.0	1205.0	48192	60864	T377	T377
GREEN_HILLS	false	1045.0	1273.0	30144	69568	T390	T390
DOL_AMROTH	false	1158.0	1333.0	44608	77248	T422	T422
EDHELLOND	false	1189.0	1293.0	48576	72128	T410	T410
TARNOST	false	1241.0	1300.0	55232	73024	T418	T418
TOLFALAS_ISLAND	false	1240.0	1414.0	55104	87616	T434	T434
AMON_HEN	false	1335.0	1131.0	67264	51392	T343	T343
AMON_LHAW	false	1372.0	1120.0	72000	49984	T336	T336
ARGONATH	false	1347.0	1112.0	68800	48960	T332	T332
NORTH_UNDEEP	false	1319.0	988.0	65216	33088	T281	T281
SOUTH_UNDEEP	false	1335.0	1024.0	67264	37696	T297	T297
MORANNON	false	1470.0	1131.0	84544	51392	T326	T326
UDUN	false	1470.0	1145.0	84544	53184	T346	T346
MOUNT_DOOM	false	1533.0	1204.0	92608	60736	T369	T369
BARAD_DUR	false	1573.0	1196.0	97728	59712	T378	T378
MINAS_MORGUL	false	1461.0	1239.0	83392	65216	T381	T381
DURTHANG	false	1464.0	1159.0	83776	54976	T356	T356
CARACH_ANGREN	false	1493.0	1166.0	87488	55872	T357	T357
CIRITH_UNGOL	false	1479.0	1225.0	85696	63424	T391	T391
MORIGOST	false	1558.0	1286.0	95808	71232	T423	T423
NARGROTH	false	1640.0	1248.0	106304	66368	T399	T399
AMON_ANGREN	false	1663.0	1245.0	109248	65984	T364	T364
SEREGOST	false	1682.0	1214.0	111680	62016	T363	T363
FELLBEASTS	false	1754.0	1164.0	120896	55616	T364	T364
EASTERN_GUARD	false	1840.0	1137.0	131904	52160	T355	T355
NURNEN_NORTHERN_SHORE	false	1696.0	1324.0	113472	76096	T407	T407
NURNEN_SOUTHERN_SHORE	false	1718.0	1369.0	116288	81856	T433	T433
NURNEN_WESTERN_SHORE	false	1650.0	1363.0	107584	81088	T430	T430
NURNEN_EASTERN_SHORE	false	1758.0	1316.0	121408	75072	T403	T403
THAURBAND	false	1643.0	1354.0	106688	79936	T417	T417
VALLEY_OF_SPIDERS	false	1512.0	1400.0	89920	85824	T654	T654
DORWINION_PORT	false	1784.0	863.0	124736	17088	T226	T226
DORWINION_COURT	false	1758.0	939.0	121408	26816	T255	T255
DORWINION_FORD	false	1776.0	986.0	123712	32832	T275	T275
DORWINION_HILLS	false	1733.0	950.0	118208	28224	T277	T277
RHUN_ROAD_WAY	false	2228.0	835.0	181568	13504	T219	T219
BALCARAS	false	2231.0	1058.0	181952	42048	T316	T316
KHAND_NORTH_ROAD	false	1932.0	1331.0	143680	76992	T409	T409
RHUN_CAPITAL	false	1867.0	984.0	135360	32576	T292	T292
KHAMUL_TOWER	false	1888.0	878.0	138048	19008	T225	T225
MORDOR_FORD	false	1834.0	1112.0	131136	48960	T329	T329
RHUN_NORTH_CITY	false	1903.0	914.0	139968	23616	T262	T262
BAZYLAN	false	1921.0	889.0	142272	20416	T244	T244
BORDER_TOWN	false	1794.0	979.0	126016	31936	T296	T296
RHUN_SEA_CITY	false	1837.0	956.0	131520	28992	T273	T273
RHUN_NORTH_FORD	false	1942.0	811.0	144960	10432	T213	T213
RHUN_NORTHEAST	false	2045.0	815.0	158144	10944	T214	T214
RHUN_SOUTH_PASS	false	1869.0	1055.0	135616	41664	T312	T312
RHUN_EAST_CITY	false	2010.0	962.0	153664	29760	T278	T278
RHUN_EAST_TOWN	false	1983.0	936.0	150208	26432	T261	T261
RHUN_SOUTHEAST	false	1900.0	1141.0	139584	52672	T331	T331
BARAZ_DUM	false	2326.0	800.0	194112	9024	T210	T210
CROSSINGS_OF_HARAD	false	1503.0	1544.0	88768	104256	T444	T444
HARNEN_SEA_TOWN	false	1343.0	1561.0	68288	106432	T460	T460
HARNEN_ROAD_TOWN	false	1518.0	1563.0	90688	106688	T455	T455
HARNEN_BLACK_TOWN	false	1566.0	1482.0	96832	96320	T443	T443
CROSSINGS_OF_LITHNEN	false	1539.0	1545.0	93376	104384	T450	T450
HARNEN_RIVER_TOWN	false	1447.0	1558.0	81600	106048	T462	T462
KHAND_FORD	false	1778.0	1432.0	123968	89920	T439	T439
UMBAR_CITY	false	1214.0	1689.0	51776	122816	T470	T470
UMBAR_GATE	false	1252.0	1698.0	56640	123968	T469	T469
GATE_HERUMOR	false	1097.0	1721.0	36800	126912	T473	T473
CEDAR_ROAD	false	1034.0	1848.0	28736	143168	T483	T483
FERTILE_VALLEY	false	1169.0	1821.0	46016	139712	T477	T477
GARDENS_BERUTHIEL	false	1245.0	1781.0	55744	134592	T479	T479
AIN_AL_HARAD	false	1265.0	1737.0	58304	128960	T474	T474
GATE_FUINUR	false	1218.0	1631.0	52288	115392	T467	T467
COAST_FORTRESS	false	1245.0	1582.0	55744	109120	T457	T457
SANDHILL_TOWN	false	1277.0	1600.0	59840	111424	T464	T464
COAST_RIVER_TOWN	false	1080.0	1837.0	34624	141760	T478	T478
COAST_CITY	false	1165.0	1742.0	45504	129600	T475	T475
DESERT_TOWN	false	1563.0	1611.0	96448	112832	T466	T466
SOUTH_DESERT_TOWN	false	1141.0	1976.0	42432	159552	T503	T503
DESERT_RIVER_TOWN	false	1191.0	1984.0	48832	160576	T655	T655
GULF_OF_HARAD	false	1724.0	1982.0	117056	160320	T493	T493
GULF_CITY	false	1640.0	1922.0	106304	152640	T492	T492
GULF_FORD	false	1686.0	2032.0	112192	166720		
GULF_TRADE_TOWN	false	1692.0	2001.0	112960	162752	T497	T497
GULF_NORTH_TOWN	false	1626.0	1874.0	104512	146496	T486	T486
GULF_EAST_BAY	false	2036.0	2081.0	156992	172992	T508	T508
GULF_EAST_PORT	false	1847.0	2049.0	132800	168896	T506	T506
MOUNT_SAND	false	959.0	1899.0	19136	149696	T487	T487
MOUNT_GREEN	false	884.0	2372.0	9536	210240	T542	T542
MOUNT_THUNDER	false	1019.0	2590.0	26816	238144	T562	T562
GREAT_PLAINS_NORTH	false	1308.0	2067.0	63808	171200	T510	T510
GREAT_PLAINS_SOUTH	false	1462.0	2452.0	83520	220480	T550	T550
GREAT_PLAINS_WEST	false	1048.0	2215.0	30528	190144	T519	T519
GREAT_PLAINS_EAST	false	1637.0	2176.0	105920	185152	T516	T516
GREEN_VALLEY	false	1557.0	2622.0	95680	242240	T565	T565
HARAD_LAKES	false	1774.0	2310.0	123456	202304	T537	T537
LAKE_HARAD	false	1100.0	2592.0	37184	238400	T563	T563
HARADUIN_MOUTH	false	1846.0	2838.0	132672	269888	T589	T589
ISLE_MIST	false	1533.0	3573.0	92608	363968	T644	T644
TAURELONDE	false	901.0	2613.0	11712	241088	T558	T558
HARAD_HORN	false	1105.0	3778.0	37824	390208	T649	T649
TOWN_BONES	false	1832.0	2188.0	130880	186688	T524	T524
HARADUIN_BRIDGE	false	1621.0	2673.0	103872	248768	T575	T575
JUNGLE_CITY_TRADE	false	952.0	2656.0	18240	246592	T581	T581
JUNGLE_CITY_OLD	false	1084.0	2670.0	35136	248384	T577	T577
JUNGLE_CITY_NORTH	false	1419.0	2604.0	78016	239936	T566	T566
JUNGLE_CITY_EAST	false	1594.0	2766.0	100416	260672	T583	T583
JUNGLE_CITY_CAPITAL	false	1380.0	2861.0	73024	272832	T591	T591
JUNGLE_CITY_DEEP	false	1184.0	3237.0	47936	320960	T612	T612
JUNGLE_CITY_WATCH	false	1590.0	2940.0	99904	282944	T593	T593
JUNGLE_CITY_CAVES	false	1257.0	3054.0	57280	297536	T598	T598
JUNGLE_CITY_STONE	false	1236.0	2787.0	54592	263360	T585	T585
JUNGLE_LAKES	false	1550.0	2856.0	94784	272192	T588	T588
TROLL_ISLAND	false	1966.0	2342.0	148032	206400	T539	T539
BLACK_COAST	false	1936.0	2496.0	144192	226112	T549	T549
BLOOD_RIVER	false	1897.0	2605.0	139200	240064	T567	T567
SHADOW_POINT	false	1952.0	2863.0	146240	273088	T587	T587
OLD_JUNGLE_RUIN	false	1834.0	2523.0	131136	229568	T551	T551
