mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_rgba,from_tile,to_tile,source,source_record,biome,rationale
921,477,14208,-32384,14336,-32256,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0004,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
871,479,7808,-32128,7936,-32000,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
872,479,7936,-32128,8064,-32000,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
873,479,8064,-32128,8192,-32000,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
874,479,8192,-32128,8320,-32000,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
933,479,15744,-32128,15872,-32000,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0006,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
654,480,-19968,-32000,-19840,-31872,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,481,-20224,-31872,-20096,-31744,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary"
654,481,-19968,-31872,-19840,-31744,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
650,482,-20480,-31744,-20352,-31616,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
651,482,-20352,-31744,-20224,-31616,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,482,-20224,-31744,-20096,-31616,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
653,482,-20096,-31744,-19968,-31616,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
654,482,-19968,-31744,-19840,-31616,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
651,483,-20352,-31616,-20224,-31488,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,483,-20224,-31616,-20096,-31488,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
653,483,-20096,-31616,-19968,-31488,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
654,483,-19968,-31616,-19840,-31488,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
667,483,-18304,-31616,-18176,-31488,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,2,blueMountains,no nearby map transition
943,483,17024,-31616,17152,-31488,0/0/34/255,0/0/37/255,T034,T037,v2_boundary_correction,S0007,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
944,483,17152,-31616,17280,-31488,0/0/34/255,0/0/37/255,T034,T037,v2_boundary_correction,S0007,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
650,484,-20480,-31488,-20352,-31360,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
651,484,-20352,-31488,-20224,-31360,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,484,-20224,-31488,-20096,-31360,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
653,484,-20096,-31488,-19968,-31360,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
654,484,-19968,-31488,-19840,-31360,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
948,484,17664,-31488,17792,-31360,0/0/34/255,0/0/37/255,T034,T037,v2_boundary_correction,S0008,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
957,484,18816,-31488,18944,-31360,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
958,484,18944,-31488,19072,-31360,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
641,485,-21632,-31360,-21504,-31232,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary"
642,485,-21504,-31360,-21376,-31232,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
643,485,-21376,-31360,-21248,-31232,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
651,485,-20352,-31360,-20224,-31232,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,485,-20224,-31360,-20096,-31232,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
653,485,-20096,-31360,-19968,-31232,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
654,485,-19968,-31360,-19840,-31232,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
954,485,18432,-31360,18560,-31232,0/0/37/255,0/0/34/255,T037,T034,v2_boundary_correction,S0010,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
955,485,18560,-31360,18688,-31232,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
956,485,18688,-31360,18816,-31232,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
957,485,18816,-31360,18944,-31232,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
958,485,18944,-31360,19072,-31232,0/0/40/255,0/0/34/255,T040,T034,v2_boundary_correction,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
641,486,-21632,-31232,-21504,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
642,486,-21504,-31232,-21376,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
643,486,-21376,-31232,-21248,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
644,486,-21248,-31232,-21120,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
650,486,-20480,-31232,-20352,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
651,486,-20352,-31232,-20224,-31104,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,1,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
652,486,-20224,-31232,-20096,-31104,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
653,486,-20096,-31232,-19968,-31104,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
654,486,-19968,-31232,-19840,-31104,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
642,487,-21504,-31104,-21376,-30976,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
643,487,-21376,-31104,-21248,-30976,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
644,487,-21248,-31104,-21120,-30976,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
645,487,-21120,-31104,-20992,-30976,0/0/0/0,0/0/33/255,GAP,T033,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
650,487,-20480,-31104,-20352,-30976,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
651,487,-20352,-31104,-20224,-30976,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
652,487,-20224,-31104,-20096,-30976,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
653,487,-20096,-31104,-19968,-30976,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
716,487,-12032,-31104,-11904,-30976,0/0/36/255,0/0/30/255,T036,T030,v2_boundary_correction,S0011,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
956,487,18688,-31104,18816,-30976,0/0/40/255,0/0/37/255,T040,T037,v2_boundary_correction,S0012,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
643,488,-21376,-30976,-21248,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
644,488,-21248,-30976,-21120,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,no nearby map transition
645,488,-21120,-30976,-20992,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,no nearby map transition
650,488,-20480,-30976,-20352,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
651,488,-20352,-30976,-20224,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
652,488,-20224,-30976,-20096,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
653,488,-20096,-30976,-19968,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
654,488,-19968,-30976,-19840,-30848,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
644,489,-21248,-30848,-21120,-30720,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,no nearby map transition
645,489,-21120,-30848,-20992,-30720,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,no nearby map transition
650,489,-20480,-30848,-20352,-30720,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
652,489,-20224,-30848,-20096,-30720,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
653,489,-20096,-30848,-19968,-30720,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
592,490,-27904,-30720,-27776,-30592,0/0/33/255,0/0/41/255,T033,T041,v2_boundary_correction,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
593,490,-27776,-30720,-27648,-30592,0/0/33/255,0/0/41/255,T033,T041,v2_boundary_correction,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
594,490,-27648,-30720,-27520,-30592,0/0/33/255,0/0/41/255,T033,T041,v2_boundary_correction,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
595,490,-27520,-30720,-27392,-30592,0/0/33/255,0/0/41/255,T033,T041,v2_boundary_correction,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
645,490,-21120,-30720,-20992,-30592,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,3,blueMountains,no nearby map transition
650,490,-20480,-30720,-20352,-30592,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,1,blueMountains,no nearby map transition
627,505,-23424,-28800,-23296,-28672,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,6,blueMountains,no nearby map transition
627,506,-23424,-28672,-23296,-28544,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,6,blueMountains,no nearby map transition
637,506,-22144,-28672,-22016,-28544,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
638,506,-22016,-28672,-21888,-28544,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
634,507,-22528,-28544,-22400,-28416,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
635,507,-22400,-28544,-22272,-28416,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
636,507,-22272,-28544,-22144,-28416,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
637,507,-22144,-28544,-22016,-28416,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
638,507,-22016,-28544,-21888,-28416,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
628,508,-23296,-28416,-23168,-28288,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,7,blueMountains,no nearby map transition
629,508,-23168,-28416,-23040,-28288,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,7,blueMountains,no nearby map transition
633,508,-22656,-28416,-22528,-28288,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
634,508,-22528,-28416,-22400,-28288,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
635,508,-22400,-28416,-22272,-28288,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
636,508,-22272,-28416,-22144,-28288,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
628,509,-23296,-28288,-23168,-28160,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,7,blueMountains,no nearby map transition
629,509,-23168,-28288,-23040,-28160,0/0/0/0,0/0/35/255,GAP,T035,geography_gap_fill,7,blueMountains,no nearby map transition
630,509,-23040,-28288,-22912,-28160,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
631,509,-22912,-28288,-22784,-28160,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
632,509,-22784,-28288,-22656,-28160,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
633,509,-22656,-28288,-22528,-28160,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
628,510,-23296,-28160,-23168,-28032,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
629,510,-23168,-28160,-23040,-28032,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
630,510,-23040,-28160,-22912,-28032,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
631,510,-22912,-28160,-22784,-28032,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
632,510,-22784,-28160,-22656,-28032,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
628,511,-23296,-28032,-23168,-27904,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
629,511,-23168,-28032,-23040,-27904,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
627,512,-23424,-27904,-23296,-27776,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,no nearby map transition
628,512,-23296,-27904,-23168,-27776,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
629,512,-23168,-27904,-23040,-27776,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
894,512,10752,-27904,10880,-27776,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
895,512,10880,-27904,11008,-27776,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
896,512,11008,-27904,11136,-27776,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
627,513,-23424,-27776,-23296,-27648,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
628,513,-23296,-27776,-23168,-27648,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
629,513,-23168,-27776,-23040,-27648,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
892,513,10496,-27776,10624,-27648,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0015,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
899,513,11392,-27776,11520,-27648,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0016,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
589,514,-28288,-27648,-28160,-27520,0/0/0/0,0/0/42/255,GAP,T042,geography_gap_fill,8,blueMountains,no nearby map transition
628,514,-23296,-27648,-23168,-27520,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
629,514,-23168,-27648,-23040,-27520,0/0/0/0,0/0/50/255,GAP,T050,geography_gap_fill,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary"
887,514,9856,-27648,9984,-27520,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
888,514,9984,-27648,10112,-27520,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
889,514,10112,-27648,10240,-27520,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
890,514,10240,-27648,10368,-27520,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
902,514,11776,-27648,11904,-27520,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0018,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
882,515,9216,-27520,9344,-27392,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0019,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
883,515,9344,-27520,9472,-27392,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0019,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
911,515,12928,-27520,13056,-27392,0/0/46/255,0/0/37/255,T046,T037,v2_boundary_correction,S0020,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
803,516,-896,-27392,-768,-27264,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0021,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
878,516,8704,-27392,8832,-27264,0/0/37/255,0/0/46/255,T037,T046,v2_boundary_correction,S0022,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
746,517,-8192,-27264,-8064,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0023,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
788,517,-2816,-27264,-2688,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
789,517,-2688,-27264,-2560,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
790,517,-2560,-27264,-2432,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
807,517,-384,-27264,-256,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
808,517,-256,-27264,-128,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
809,517,-128,-27264,0,-27136,0/0/43/255,0/0/34/255,T043,T034,v2_boundary_correction,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
