mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_rgba,from_tile,to_tile,segment,biome,rationale
681,461,-16512,-34432,-16384,-34304,0/0/33/255,0/0/30/255,T033,T030,S0001,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
888,477,9984,-32384,10112,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
889,477,10112,-32384,10240,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
890,477,10240,-32384,10368,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
891,477,10368,-32384,10496,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
892,477,10496,-32384,10624,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
921,477,14208,-32384,14336,-32256,0/0/37/255,0/0/34/255,T037,T034,S0004,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
871,479,7808,-32128,7936,-32000,0/0/37/255,0/0/34/255,T037,T034,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
872,479,7936,-32128,8064,-32000,0/0/37/255,0/0/34/255,T037,T034,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
873,479,8064,-32128,8192,-32000,0/0/37/255,0/0/34/255,T037,T034,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
874,479,8192,-32128,8320,-32000,0/0/37/255,0/0/34/255,T037,T034,S0005,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
933,479,15744,-32128,15872,-32000,0/0/37/255,0/0/34/255,T037,T034,S0006,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
943,483,17024,-31616,17152,-31488,0/0/34/255,0/0/37/255,T034,T037,S0007,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
944,483,17152,-31616,17280,-31488,0/0/34/255,0/0/37/255,T034,T037,S0007,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
948,484,17664,-31488,17792,-31360,0/0/34/255,0/0/37/255,T034,T037,S0008,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
957,484,18816,-31488,18944,-31360,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
958,484,18944,-31488,19072,-31360,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
954,485,18432,-31360,18560,-31232,0/0/37/255,0/0/34/255,T037,T034,S0010,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
955,485,18560,-31360,18688,-31232,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
956,485,18688,-31360,18816,-31232,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
957,485,18816,-31360,18944,-31232,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
958,485,18944,-31360,19072,-31232,0/0/40/255,0/0/34/255,T040,T034,S0009,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
716,487,-12032,-31104,-11904,-30976,0/0/36/255,0/0/30/255,T036,T030,S0011,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
956,487,18688,-31104,18816,-30976,0/0/40/255,0/0/37/255,T040,T037,S0012,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
592,490,-27904,-30720,-27776,-30592,0/0/33/255,0/0/41/255,T033,T041,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
593,490,-27776,-30720,-27648,-30592,0/0/33/255,0/0/41/255,T033,T041,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
594,490,-27648,-30720,-27520,-30592,0/0/33/255,0/0/41/255,T033,T041,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
595,490,-27520,-30720,-27392,-30592,0/0/33/255,0/0/41/255,T033,T041,S0013,lindon,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
894,512,10752,-27904,10880,-27776,0/0/37/255,0/0/46/255,T037,T046,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
895,512,10880,-27904,11008,-27776,0/0/37/255,0/0/46/255,T037,T046,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
896,512,11008,-27904,11136,-27776,0/0/37/255,0/0/46/255,T037,T046,S0014,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
892,513,10496,-27776,10624,-27648,0/0/46/255,0/0/37/255,T046,T037,S0015,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
899,513,11392,-27776,11520,-27648,0/0/37/255,0/0/46/255,T037,T046,S0016,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
887,514,9856,-27648,9984,-27520,0/0/46/255,0/0/37/255,T046,T037,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
888,514,9984,-27648,10112,-27520,0/0/46/255,0/0/37/255,T046,T037,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
889,514,10112,-27648,10240,-27520,0/0/46/255,0/0/37/255,T046,T037,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
890,514,10240,-27648,10368,-27520,0/0/46/255,0/0/37/255,T046,T037,S0017,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
902,514,11776,-27648,11904,-27520,0/0/37/255,0/0/46/255,T037,T046,S0018,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
882,515,9216,-27520,9344,-27392,0/0/46/255,0/0/37/255,T046,T037,S0019,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
883,515,9344,-27520,9472,-27392,0/0/46/255,0/0/37/255,T046,T037,S0019,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
911,515,12928,-27520,13056,-27392,0/0/46/255,0/0/37/255,T046,T037,S0020,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
803,516,-896,-27392,-768,-27264,0/0/43/255,0/0/34/255,T043,T034,S0021,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
878,516,8704,-27392,8832,-27264,0/0/37/255,0/0/46/255,T037,T046,S0022,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
746,517,-8192,-27264,-8064,-27136,0/0/43/255,0/0/34/255,T043,T034,S0023,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
788,517,-2816,-27264,-2688,-27136,0/0/43/255,0/0/34/255,T043,T034,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
789,517,-2688,-27264,-2560,-27136,0/0/43/255,0/0/34/255,T043,T034,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
790,517,-2560,-27264,-2432,-27136,0/0/43/255,0/0/34/255,T043,T034,S0024,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
807,517,-384,-27264,-256,-27136,0/0/43/255,0/0/34/255,T043,T034,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
808,517,-256,-27264,-128,-27136,0/0/43/255,0/0/34/255,T043,T034,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
809,517,-128,-27264,0,-27136,0/0/43/255,0/0/34/255,T043,T034,S0025,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
877,517,8576,-27264,8704,-27136,0/0/37/255,0/0/46/255,T037,T046,S0022,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
811,518,128,-27136,256,-27008,0/0/43/255,0/0/34/255,T043,T034,S0026,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
874,518,8192,-27136,8320,-27008,0/0/46/255,0/0/37/255,T046,T037,S0027,tundra,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
750,519,-7680,-27008,-7552,-26880,0/0/43/255,0/0/34/255,T043,T034,S0028,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
751,519,-7552,-27008,-7424,-26880,0/0/43/255,0/0/34/255,T043,T034,S0028,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
752,519,-7424,-27008,-7296,-26880,0/0/43/255,0/0/34/255,T043,T034,S0028,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
768,519,-5376,-27008,-5248,-26880,0/0/43/255,0/0/34/255,T043,T034,S0029,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2735,538,246400,-24576,246528,-24448,0/0/44/255,0/0/105/255,T044,T105,S0030,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2736,538,246528,-24576,246656,-24448,0/0/44/255,0/0/105/255,T044,T105,S0030,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2737,538,246656,-24576,246784,-24448,0/0/44/255,0/0/105/255,T044,T105,S0030,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2750,538,248320,-24576,248448,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2751,538,248448,-24576,248576,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2752,538,248576,-24576,248704,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2753,538,248704,-24576,248832,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2754,538,248832,-24576,248960,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2755,538,248960,-24576,249088,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2756,538,249088,-24576,249216,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2757,538,249216,-24576,249344,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2758,538,249344,-24576,249472,-24448,0/0/44/255,0/0/105/255,T044,T105,S0031,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
792,539,-2304,-24448,-2176,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
793,539,-2176,-24448,-2048,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
794,539,-2048,-24448,-1920,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
795,539,-1920,-24448,-1792,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
796,539,-1792,-24448,-1664,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
797,539,-1664,-24448,-1536,-24320,0/0/43/255,0/0/52/255,T043,T052,S0032,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2761,539,249728,-24448,249856,-24320,0/0/44/255,0/0/105/255,T044,T105,S0033,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
799,540,-1408,-24320,-1280,-24192,0/0/43/255,0/0/52/255,T043,T052,S0034,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
800,540,-1280,-24320,-1152,-24192,0/0/43/255,0/0/52/255,T043,T052,S0034,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
801,540,-1152,-24320,-1024,-24192,0/0/43/255,0/0/52/255,T043,T052,S0034,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
802,540,-1024,-24320,-896,-24192,0/0/43/255,0/0/52/255,T043,T052,S0034,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
803,540,-896,-24320,-768,-24192,0/0/43/255,0/0/52/255,T043,T052,S0034,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2764,540,250112,-24320,250240,-24192,0/0/44/255,0/0/105/255,T044,T105,S0035,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
819,541,1152,-24192,1280,-24064,0/0/43/255,0/0/52/255,T043,T052,S0036,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
820,541,1280,-24192,1408,-24064,0/0/43/255,0/0/52/255,T043,T052,S0036,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
821,541,1408,-24192,1536,-24064,0/0/43/255,0/0/52/255,T043,T052,S0036,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
822,541,1536,-24192,1664,-24064,0/0/43/255,0/0/52/255,T043,T052,S0036,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
823,541,1664,-24192,1792,-24064,0/0/43/255,0/0/52/255,T043,T052,S0036,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2729,542,245632,-24064,245760,-23936,0/0/105/255,0/0/44/255,T105,T044,S0037,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
983,544,22144,-23808,22272,-23680,0/0/40/255,0/0/51/255,T040,T051,S0038,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2728,545,245504,-23680,245632,-23552,0/0/44/255,0/0/105/255,T044,T105,S0039,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2727,546,245376,-23552,245504,-23424,0/0/44/255,0/0/105/255,T044,T105,S0039,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
987,547,22656,-23424,22784,-23296,0/0/40/255,0/0/51/255,T040,T051,S0040,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
988,547,22784,-23424,22912,-23296,0/0/40/255,0/0/51/255,T040,T051,S0040,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2778,549,251904,-23168,252032,-23040,0/0/44/255,0/0/105/255,T044,T105,S0041,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
992,550,23296,-23040,23424,-22912,0/0/40/255,0/0/51/255,T040,T051,S0042,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2784,550,252672,-23040,252800,-22912,0/0/44/255,0/0/105/255,T044,T105,S0043,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
994,551,23552,-22912,23680,-22784,0/0/40/255,0/0/51/255,T040,T051,S0044,eriador,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2789,553,253312,-22656,253440,-22528,0/0/105/255,0/0/44/255,T105,T044,S0045,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2795,554,254080,-22528,254208,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2796,554,254208,-22528,254336,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2797,554,254336,-22528,254464,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2798,554,254464,-22528,254592,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2799,554,254592,-22528,254720,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2800,554,254720,-22528,254848,-22400,0/0/44/255,0/0/105/255,T044,T105,S0046,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2803,555,255104,-22400,255232,-22272,0/0/44/255,0/0/105/255,T044,T105,S0047,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2804,555,255232,-22400,255360,-22272,0/0/44/255,0/0/105/255,T044,T105,S0047,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2640,563,234240,-21376,234368,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2641,563,234368,-21376,234496,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2642,563,234496,-21376,234624,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2643,563,234624,-21376,234752,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2644,563,234752,-21376,234880,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2645,563,234880,-21376,235008,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2646,563,235008,-21376,235136,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2647,563,235136,-21376,235264,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2648,563,235264,-21376,235392,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2649,563,235392,-21376,235520,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2650,563,235520,-21376,235648,-21248,0/0/44/255,0/0/94/255,T044,T094,S0048,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2637,564,233856,-21248,233984,-21120,0/0/44/255,0/0/94/255,T044,T094,S0049,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2638,564,233984,-21248,234112,-21120,0/0/44/255,0/0/94/255,T044,T094,S0049,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2631,565,233088,-21120,233216,-20992,0/0/94/255,0/0/44/255,T094,T044,S0050,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2632,565,233216,-21120,233344,-20992,0/0/94/255,0/0/44/255,T094,T044,S0050,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2633,565,233344,-21120,233472,-20992,0/0/94/255,0/0/44/255,T094,T044,S0050,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2657,565,236416,-21120,236544,-20992,0/0/94/255,0/0/44/255,T094,T044,S0051,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2658,565,236544,-21120,236672,-20992,0/0/94/255,0/0/44/255,T094,T044,S0051,taiga,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2660,566,236800,-20992,236928,-20864,0/0/44/255,0/0/94/255,T044,T094,S0052,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2669,566,237952,-20992,238080,-20864,0/0/44/255,0/0/94/255,T044,T094,S0053,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2670,566,238080,-20992,238208,-20864,0/0/44/255,0/0/94/255,T044,T094,S0053,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
2671,566,238208,-20992,238336,-20864,0/0/44/255,0/0/94/255,T044,T094,S0053,rhun,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
1069,570,33152,-20480,33280,-20352,0/0/57/255,0/0/81/255,T057,T081,S0054,ettenmoors,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
