mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_tile_id,biome,distance_squared,equal_nearest,tie,original_neighbor_ids,geometry,width_cells,rationale
667,453,-18304,-35456,-18176,-35328,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
684,461,-16128,-34432,-16000,-34304,0/0/0/0,T030,forodwaith,1,T030|T033,True,T030|T033,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
685,461,-16000,-34432,-15872,-34304,0/0/0/0,T030,forodwaith,1,T030|T033,True,T030|T033,D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
686,461,-15872,-34432,-15744,-34304,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
687,461,-15744,-34432,-15616,-34304,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
686,462,-15872,-34304,-15744,-34176,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,465,-13184,-33920,-13056,-33792,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
706,466,-13312,-33792,-13184,-33664,0/0/0/0,T030,forodwaith,2,T030,False,T030|T036,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,466,-13184,-33792,-13056,-33664,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,467,-13440,-33664,-13312,-33536,0/0/0/0,T036,forodwaith,2,T030|T036,True,T030|T036,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
706,467,-13312,-33664,-13184,-33536,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,468,-13440,-33536,-13312,-33408,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
2753,468,248704,-33536,248832,-33408,0/0/0/0,T044,tundra,1,T044,False,T031|T032|T044,junction,4,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
2754,468,248832,-33536,248960,-33408,0/0/0/0,T044,tundra,1,T044,False,T031|T032|T044,H,4,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,469,-13440,-33408,-13312,-33280,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
2751,469,248448,-33408,248576,-33280,0/0/0/0,T044,tundra,1,T044,False,T031|T032|T044,junction,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,470,-13440,-33280,-13312,-33152,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
2749,470,248192,-33280,248320,-33152,0/0/0/0,T044,tundra,1,T044,False,T031|T032|T044,junction,0,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,471,-13440,-33152,-13312,-33024,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
902,471,11776,-33152,11904,-33024,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
903,471,11904,-33152,12032,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
904,471,12032,-33152,12160,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
905,471,12160,-33152,12288,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
906,471,12288,-33152,12416,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
907,471,12416,-33152,12544,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
908,471,12544,-33152,12672,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
909,471,12672,-33152,12800,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
910,471,12800,-33152,12928,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
911,471,12928,-33152,13056,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
912,471,13056,-33152,13184,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
913,471,13184,-33152,13312,-33024,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,472,-13440,-33024,-13312,-32896,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
900,472,11520,-33024,11648,-32896,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
901,472,11648,-33024,11776,-32896,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
902,472,11776,-33024,11904,-32896,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
914,472,13312,-33024,13440,-32896,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
915,472,13440,-33024,13568,-32896,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,473,-13440,-32896,-13312,-32768,0/0/0/0,T036,tundra,1,T030|T036,True,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
899,473,11392,-32896,11520,-32768,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
900,473,11520,-32896,11648,-32768,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
901,473,11648,-32896,11776,-32768,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
902,473,11776,-32896,11904,-32768,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
914,473,13312,-32896,13440,-32768,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
915,473,13440,-32896,13568,-32768,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
705,474,-13440,-32768,-13312,-32640,0/0/0/0,T036,tundra,1,T036,False,T030|T036,D+D-H,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
706,474,-13312,-32768,-13184,-32640,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
898,474,11264,-32768,11392,-32640,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
899,474,11392,-32768,11520,-32640,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
915,474,13440,-32768,13568,-32640,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
916,474,13568,-32768,13696,-32640,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
917,474,13696,-32768,13824,-32640,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
706,475,-13312,-32640,-13184,-32512,0/0/0/0,T036,forodwaith,1,T036,False,T030|T036,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,475,-13184,-32640,-13056,-32512,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
896,475,11008,-32640,11136,-32512,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
897,475,11136,-32640,11264,-32512,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
898,475,11264,-32640,11392,-32512,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
916,475,13568,-32640,13696,-32512,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
917,475,13696,-32640,13824,-32512,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
918,475,13824,-32640,13952,-32512,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
919,475,13952,-32640,14080,-32512,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
666,476,-18432,-32512,-18304,-32384,0/0/0/0,T033,blueMountainsFoothills,1,T033,False,T033|T035,V,8,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,476,-13184,-32512,-13056,-32384,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
892,476,10496,-32512,10624,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
893,476,10624,-32512,10752,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
894,476,10752,-32512,10880,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
895,476,10880,-32512,11008,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
896,476,11008,-32512,11136,-32384,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
919,476,13952,-32512,14080,-32384,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
920,476,14080,-32512,14208,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
921,476,14208,-32512,14336,-32384,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
664,477,-18688,-32384,-18560,-32256,0/0/0/0,T033,blueMountainsFoothills,1,T033,False,T033|T035,V,7,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
665,477,-18560,-32384,-18432,-32256,0/0/0/0,T033,blueMountains,1,T033,False,T033|T035,V,7,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
666,477,-18432,-32384,-18304,-32256,0/0/0/0,T033,blueMountains,2,T033,False,T033|T035,V,8,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,477,-13184,-32384,-13056,-32256,0/0/0/0,T036,forodwaith,1,T030|T036,True,T030|T036,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
878,477,8704,-32384,8832,-32256,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
879,477,8832,-32384,8960,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
880,477,8960,-32384,9088,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
881,477,9088,-32384,9216,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
882,477,9216,-32384,9344,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
883,477,9344,-32384,9472,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
884,477,9472,-32384,9600,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
885,477,9600,-32384,9728,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
886,477,9728,-32384,9856,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
887,477,9856,-32384,9984,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
888,477,9984,-32384,10112,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
889,477,10112,-32384,10240,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
890,477,10240,-32384,10368,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
891,477,10368,-32384,10496,-32256,0/0/0/0,T037,forodwaith,1,T034|T037,True,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
892,477,10496,-32384,10624,-32256,0/0/0/0,T037,forodwaith,1,T037,False,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
893,477,10624,-32384,10752,-32256,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
894,477,10752,-32384,10880,-32256,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
895,477,10880,-32384,11008,-32256,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
920,477,14080,-32384,14208,-32256,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
921,477,14208,-32384,14336,-32256,0/0/0/0,T037,forodwaith,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
922,477,14336,-32384,14464,-32256,0/0/0/0,T034,forodwaith,1,T034|T037,True,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
923,477,14464,-32384,14592,-32256,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
660,478,-19200,-32256,-19072,-32128,0/0/0/0,T033,blueMountainsFoothills,1,T033,False,T033|T035,V,8,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
661,478,-19072,-32256,-18944,-32128,0/0/0/0,T033,blueMountainsFoothills,1,T033,False,T033|T035,V,8,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
662,478,-18944,-32256,-18816,-32128,0/0/0/0,T033,blueMountains,1,T033,False,T033|T035,V,7,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
663,478,-18816,-32256,-18688,-32128,0/0/0/0,T033,blueMountains,1,T033,False,T033|T035,V,6,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
664,478,-18688,-32256,-18560,-32128,0/0/0/0,T033,blueMountains,2,T033,False,T033|T035,V,7,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
665,478,-18560,-32256,-18432,-32128,0/0/0/0,T033,blueMountains,4,T033,False,T033|T035,V,7,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
666,478,-18432,-32256,-18304,-32128,0/0/0/0,T033,blueMountains,5,T033,False,T033|T035,V,8,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
707,478,-13184,-32256,-13056,-32128,0/0/0/0,T036,tundra,1,T036,False,T030|T036,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
708,478,-13056,-32256,-12928,-32128,0/0/0/0,T030,forodwaith,1,T030,False,T030|T036,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
874,478,8192,-32256,8320,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
875,478,8320,-32256,8448,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
876,478,8448,-32256,8576,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
877,478,8576,-32256,8704,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
878,478,8704,-32256,8832,-32128,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
923,478,14464,-32256,14592,-32128,0/0/0/0,T037,tundra,1,T037,False,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
924,478,14592,-32256,14720,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
925,478,14720,-32256,14848,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
926,478,14848,-32256,14976,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
927,478,14976,-32256,15104,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
928,478,15104,-32256,15232,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
929,478,15232,-32256,15360,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
930,478,15360,-32256,15488,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
931,478,15488,-32256,15616,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
932,478,15616,-32256,15744,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
933,478,15744,-32256,15872,-32128,0/0/0/0,T034,forodwaith,1,T034,False,T034|T037,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
658,479,-19456,-32128,-19328,-32000,0/0/0/0,T033,blueMountainsFoothills,1,T033,False,T033|T035,D+V,5,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
659,479,-19328,-32128,-19200,-32000,0/0/0/0,T033,blueMountains,1,T033,False,T033|T035,D+V,5,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
660,479,-19200,-32128,-19072,-32000,0/0/0/0,T033,blueMountains,2,T033,False,T033|T035,D+V,5,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
