# KOME gameplay defaults 1
from,to,type,x,y,z,mapX,mapY
T398,T408,bridge,77056.0,80.0,69632.0,1412,1274
T409,T420,bridge,143616.0,80.0,77312.0,1932,1334
T411,T413,bridge,60928.0,80.0,77952.0,1286,1339
T421,T425,bridge,75008.0,80.0,79872.0,1396,1354
T425,T435,bridge,81024.0,80.0,81792.0,1443,1369
T444,T455,bridge,88832.0,80.0,104320.0,1504,1545
T450,T454,bridge,93440.0,80.0,104320.0,1540,1545
T470,T472,bridge,51328.0,80.0,123008.0,1211,1691
T472,T473,bridge,44800.0,80.0,125568.0,1160,1711
T477,T479,bridge,48768.0,80.0,137088.0,1191,1801
T477,T485,bridge,45568.0,80.0,140544.0,1166,1828
T486,T492,bridge,103680.0,80.0,146560.0,1620,1875
T491,T503,bridge,42880.0,80.0,151808.0,1145,1916
T502,T509,bridge,112256.0,80.0,166784.0,1687,2033
T574,T577,bridge,34432.0,80.0,248576.0,1079,2672
T575,T576,bridge,103808.0,80.0,248960.0,1621,2675
T035,T036,river,-17792.0,80.0,-30464.0,671,492
T036,T050,river,-16000.0,80.0,-27776.0,685,513
T041,T042,river,-29696.0,80.0,-27520.0,578,515
T041,T076,river,-30976.0,80.0,-23808.0,568,544
T042,T070,river,-25728.0,80.0,-21120.0,609,565
T043,T050,river,-12032.0,80.0,-25088.0,716,534
T049,T060,river,195968.0,80.0,-28672.0,2341,506
T049,T114,river,194816.0,80.0,-17664.0,2332,592
T050,T067,river,-11648.0,80.0,-21248.0,719,564
T050,T101,river,-17536.0,80.0,-19200.0,673,580
T053,T156,river,203136.0,80.0,-14080.0,2397,620
T055,T072,river,58240.0,80.0,-20608.0,1265,569
T060,T083,river,184576.0,80.0,-19200.0,2252,580
T061,T079,river,54400.0,80.0,-18176.0,1235,588
T062,T072,river,63232.0,80.0,-19968.0,1304,574
T062,T087,river,81920.0,80.0,-14336.0,1450,618
T062,T100,river,80384.0,80.0,-12672.0,1438,631
T067,T101,river,-11776.0,80.0,-14080.0,718,620
T067,T112,river,-7680.0,80.0,-12032.0,750,636
T070,T096,river,-23296.0,80.0,-14336.0,628,618
T072,T079,river,57600.0,80.0,-14848.0,1260,614
T074,T088,river,71808.0,80.0,-14208.0,1371,619
T074,T100,river,78208.0,80.0,-12928.0,1421,629
T076,T119,river,-32256.0,80.0,-13568.0,558,624
T079,T104,river,58496.0,80.0,-11776.0,1267,638
T079,T110,river,56576.0,80.0,-12160.0,1252,635
T080,T109,river,2688.0,80.0,-10496.0,831,648
T081,T099,river,44800.0,80.0,-12416.0,1160,633
T083,T107,river,178048.0,80.0,-8320.0,2201,665
T083,T114,river,187904.0,80.0,-10496.0,2278,648
T083,T184,river,181248.0,80.0,-6784.0,2226,677
T089,T096,river,-23936.0,80.0,-13952.0,623,621
T091,T092,river,83840.0,80.0,-13184.0,1465,627
T091,T100,river,82688.0,80.0,-12416.0,1456,633
T092,T100,river,83712.0,80.0,-11136.0,1464,643
T093,T123,river,38272.0,80.0,-7552.0,1109,671
T094,T156,river,216576.0,80.0,-7808.0,2502,669
T094,T191,river,235776.0,80.0,-2688.0,2652,709
T098,T115,river,105088.0,80.0,-10368.0,1631,649
T100,T113,river,83840.0,80.0,-9088.0,1465,659
T100,T120,river,83840.0,80.0,-7936.0,1465,668
T101,T112,river,-12032.0,80.0,-7552.0,716,671
T104,T110,river,59392.0,80.0,-8064.0,1274,667
T105,T191,river,249472.0,80.0,2048.0,2759,746
T105,T227,river,262144.0,80.0,4224.0,2858,763
T107,T184,river,174208.0,80.0,-6144.0,2171,682
T113,T120,river,84352.0,80.0,-6784.0,1469,677
T113,T128,river,84992.0,80.0,-5376.0,1474,688
T116,T126,river,4224.0,80.0,-4864.0,843,692
T116,T139,river,4096.0,80.0,-3840.0,842,700
T116,T140,river,4608.0,80.0,-3456.0,846,703
T116,T145,river,5248.0,80.0,-2816.0,851,708
T117,T193,river,87552.0,80.0,-1920.0,1494,715
T119,T121,river,-35840.0,80.0,-5888.0,530,684
T120,T128,river,82688.0,80.0,-5888.0,1456,684
T121,T161,river,-38272.0,80.0,-1664.0,511,717
T124,T184,river,169216.0,80.0,-3456.0,2132,703
T124,T192,river,167168.0,80.0,-256.0,2116,728
T125,T162,river,109952.0,80.0,0.0,1669,730
T130,T147,river,45440.0,80.0,-1664.0,1165,717
T130,T188,river,44544.0,80.0,-384.0,1158,727
T131,T139,river,1536.0,80.0,-2304.0,822,712
T134,T146,river,-256.0,80.0,-1408.0,808,719
T136,T185,river,34944.0,80.0,1024.0,1083,738
T139,T146,river,1664.0,80.0,-1408.0,823,719
T139,T158,river,1792.0,80.0,-384.0,824,727
T140,T145,river,5248.0,80.0,-1920.0,851,715
T141,T147,river,46080.0,80.0,-1536.0,1170,718
T141,T188,river,48128.0,80.0,-896.0,1186,723
T146,T158,river,1280.0,80.0,-512.0,820,726
T153,T193,river,93824.0,80.0,2560.0,1543,750
T162,T193,river,101248.0,80.0,4096.0,1601,762
T162,T198,river,109440.0,80.0,3584.0,1665,758
T166,T169,river,5376.0,80.0,640.0,852,735
T169,T182,river,3968.0,80.0,1664.0,841,743
T170,T183,river,8320.0,80.0,2304.0,875,748
T172,T192,river,158080.0,80.0,4352.0,2045,764
T174,T207,river,57472.0,80.0,7040.0,1259,785
T177,T183,river,6272.0,80.0,2560.0,859,750
T177,T189,river,5888.0,80.0,2688.0,856,751
T178,T189,river,5376.0,80.0,2688.0,852,751
T182,T189,river,3712.0,80.0,3328.0,839,756
T183,T189,river,6656.0,80.0,2816.0,862,752
T183,T196,river,8192.0,80.0,3200.0,874,755
T184,T210,river,189056.0,80.0,9216.0,2287,802
T184,T219,river,181120.0,80.0,12160.0,2225,825
T184,T224,river,174976.0,80.0,11776.0,2177,822
T185,T188,river,40832.0,80.0,4224.0,1129,763
T185,T200,river,34688.0,80.0,5248.0,1081,771
T185,T208,river,34176.0,80.0,8448.0,1077,796
T185,T217,river,35584.0,80.0,8704.0,1088,798
T186,T196,river,9472.0,80.0,5376.0,884,772
T191,T227,river,250624.0,80.0,9344.0,2768,803
T191,T269,river,242176.0,80.0,14208.0,2702,841
T192,T199,river,150400.0,80.0,8320.0,1985,795
T192,T213,river,150656.0,80.0,9472.0,1987,804
T192,T214,river,156288.0,80.0,9344.0,2031,803
T192,T224,river,166784.0,80.0,9856.0,2113,807
T195,T198,river,109440.0,80.0,7168.0,1665,786
T197,T207,river,62464.0,80.0,10880.0,1298,815
T198,T226,river,111616.0,80.0,13056.0,1682,832
T198,T243,river,110080.0,80.0,10496.0,1670,812
T203,T205,river,8064.0,80.0,10496.0,873,812
T205,T228,river,3584.0,80.0,13440.0,838,835
T207,T250,river,61056.0,80.0,15360.0,1287,850
T208,T240,river,24448.0,80.0,16000.0,1001,855
T209,T226,river,117504.0,80.0,12928.0,1728,831
T215,T225,river,138368.0,80.0,13056.0,1891,832
T216,T226,river,124416.0,80.0,14336.0,1782,842
T217,T252,river,34304.0,80.0,20224.0,1078,888
T218,T239,river,39296.0,80.0,18304.0,1117,873
T222,T260,river,210688.0,80.0,25600.0,2456,930
T222,T269,river,225152.0,80.0,21504.0,2569,898
T227,T304,river,262784.0,80.0,23680.0,2863,915
T228,T230,river,-640.0,80.0,16896.0,805,862
T228,T268,river,17024.0,80.0,22656.0,943,907
T229,T240,river,23552.0,80.0,17536.0,994,867
T230,T256,river,-4480.0,80.0,20096.0,775,887
T231,T247,river,49792.0,80.0,20352.0,1199,889
T231,T253,river,51968.0,80.0,22016.0,1216,902
T236,T303,river,190464.0,80.0,24960.0,2298,925
T237,T250,river,58112.0,80.0,19968.0,1264,886
T237,T253,river,55552.0,80.0,23168.0,1244,911
T239,T252,river,39296.0,80.0,19840.0,1117,885
T247,T253,river,49280.0,80.0,21376.0,1195,897
T247,T266,river,47360.0,80.0,21504.0,1180,898
T249,T276,river,197120.0,80.0,22912.0,2350,909
T249,T303,river,193408.0,80.0,25088.0,2321,926
T250,T253,river,57088.0,80.0,23936.0,1256,917
T250,T266,river,60928.0,80.0,27904.0,1286,948
T254,T303,river,185856.0,80.0,29696.0,2262,962
T256,T268,river,13184.0,80.0,27136.0,913,942
T259,T302,river,158848.0,80.0,33024.0,2051,988
T261,T262,river,145536.0,80.0,26880.0,1947,940
T261,T278,river,151424.0,80.0,27776.0,1993,947
T261,T282,river,147584.0,80.0,29312.0,1963,959
T263,T308,river,164608.0,80.0,34048.0,2096,996
T266,T270,river,64768.0,80.0,30336.0,1316,967
T266,T281,river,64128.0,80.0,32000.0,1311,980
T266,T286,river,58112.0,80.0,31232.0,1264,974
T269,T304,river,253952.0,80.0,35072.0,2794,1004
T269,T317,river,234624.0,80.0,35712.0,2643,1009
T272,T283,river,46592.0,80.0,30336.0,1174,967
T272,T287,river,50944.0,80.0,31360.0,1208,975
T278,T302,river,153088.0,80.0,34432.0,2006,999
T280,T303,river,183552.0,80.0,37120.0,2244,1020
T280,T308,river,173568.0,80.0,36480.0,2166,1015
T280,T316,river,180224.0,80.0,40320.0,2218,1045
T281,T286,river,66176.0,80.0,34176.0,1327,997
T283,T300,river,44800.0,80.0,36864.0,1160,1018
T284,T289,river,7040.0,80.0,33536.0,865,992
T286,T297,river,67072.0,80.0,36352.0,1334,1014
T287,T300,river,48896.0,80.0,38272.0,1192,1029
T292,T312,river,135040.0,80.0,39936.0,1865,1042
T296,T312,river,133120.0,80.0,43008.0,1850,1066
T296,T329,river,131456.0,80.0,44288.0,1837,1076
T297,T328,river,67584.0,80.0,38912.0,1338,1034
T303,T316,river,182656.0,80.0,43520.0,2237,1070
T303,T350,river,183808.0,80.0,47360.0,2246,1100
T304,T393,river,266752.0,80.0,55552.0,2894,1164
T304,T401,river,252800.0,80.0,51456.0,2785,1132
T306,T333,river,25216.0,80.0,47616.0,1007,1102
T311,T315,river,37888.0,80.0,43392.0,1106,1069
T313,T333,river,22912.0,80.0,48896.0,989,1112
T313,T345,river,19712.0,80.0,50944.0,964,1128
T313,T360,river,14592.0,80.0,49280.0,924,1115
T314,T328,river,67712.0,80.0,43776.0,1339,1072
T317,T401,river,237312.0,80.0,52096.0,2664,1137
T318,T373,river,217088.0,80.0,50560.0,2506,1125
T320,T333,river,29568.0,80.0,47360.0,1041,1100
T320,T337,river,34816.0,80.0,47488.0,1082,1101
T321,T337,river,37248.0,80.0,46976.0,1101,1097
T322,T338,river,127104.0,80.0,50048.0,1803,1121
T324,T328,river,54912.0,80.0,50944.0,1239,1128
T324,T354,river,53760.0,80.0,52608.0,1230,1141
T328,T351,river,69632.0,80.0,52224.0,1354,1138
T328,T354,river,58112.0,80.0,54400.0,1264,1155
T328,T359,river,62080.0,80.0,56320.0,1295,1170
T330,T360,river,10368.0,80.0,49664.0,891,1118
T333,T345,river,26880.0,80.0,49792.0,1020,1119
T337,T345,river,34688.0,80.0,52480.0,1081,1140
T340,T352,river,80256.0,80.0,54272.0,1437,1154
T342,T347,river,46976.0,80.0,53248.0,1177,1146
T344,T350,river,187520.0,80.0,52096.0,2275,1137
T344,T362,river,204032.0,80.0,55168.0,2404,1161
T344,T373,river,212352.0,80.0,52224.0,2469,1138
T351,T352,river,79488.0,80.0,55424.0,1431,1163
T351,T353,river,71424.0,80.0,55680.0,1368,1165
T351,T371,river,74496.0,80.0,58752.0,1392,1189
T352,T375,river,82176.0,80.0,57472.0,1452,1179
T353,T365,river,66944.0,80.0,58112.0,1333,1184
T353,T367,river,70016.0,80.0,58752.0,1357,1189
T353,T368,river,72320.0,80.0,59008.0,1375,1191
T358,T376,river,76800.0,80.0,59776.0,1410,1197
T362,T394,river,197248.0,80.0,64768.0,2351,1236
T370,T375,river,79616.0,80.0,62080.0,1432,1215
T370,T376,river,78336.0,80.0,60672.0,1422,1204
T375,T379,river,79872.0,80.0,63744.0,1434,1228
T379,T384,river,79232.0,80.0,64896.0,1429,1237
T382,T387,river,126592.0,80.0,63872.0,1799,1229
T382,T403,river,130432.0,80.0,66944.0,1829,1253
T384,T402,river,79104.0,80.0,66688.0,1428,1251
T386,T402,river,80256.0,80.0,66432.0,1437,1249
T387,T407,river,114944.0,80.0,70656.0,1708,1282
T390,T392,river,46080.0,80.0,67712.0,1170,1259
T390,T397,river,20608.0,80.0,65536.0,971,1242
T390,T404,river,48512.0,80.0,71296.0,1189,1287
T390,T410,river,48000.0,80.0,71936.0,1185,1292
T392,T404,river,51072.0,80.0,70016.0,1209,1277
T394,T432,river,197248.0,80.0,69120.0,2351,1270
T398,T402,river,78720.0,80.0,69248.0,1425,1271
T402,T408,river,78720.0,80.0,72960.0,1425,1300
T403,T407,river,119424.0,80.0,72832.0,1743,1299
T403,T414,river,128128.0,80.0,72960.0,1811,1300
T406,T437,river,153728.0,80.0,81024.0,2011,1363
T408,T412,river,72704.0,80.0,71680.0,1378,1290
T408,T415,river,77696.0,80.0,76416.0,1417,1327
T409,T437,river,147456.0,80.0,77824.0,1962,1338
T411,T418,river,57472.0,80.0,76288.0,1259,1326
T412,T425,river,70400.0,80.0,81920.0,1360,1370
T412,T431,river,69120.0,80.0,82176.0,1350,1372
T412,T441,river,69760.0,80.0,82304.0,1355,1373
T413,T418,river,58112.0,80.0,78848.0,1264,1346
T414,T433,river,117504.0,80.0,82560.0,1728,1375
T415,T421,river,75904.0,80.0,78976.0,1403,1347
T415,T435,river,83968.0,80.0,80128.0,1466,1356
T417,T430,river,100992.0,80.0,80768.0,1599,1361
T417,T654,river,93568.0,80.0,82944.0,1541,1378
T425,T441,river,71552.0,80.0,83840.0,1369,1385
T427,T433,river,117632.0,80.0,85504.0,1729,1398
T428,T437,river,163840.0,80.0,88064.0,2090,1418
T429,T432,river,194816.0,80.0,82816.0,2332,1377
T432,T446,river,193408.0,80.0,102016.0,2321,1527
T432,T468,river,195712.0,80.0,108672.0,2339,1579
T436,T445,river,126976.0,80.0,95232.0,1802,1474
T436,T447,river,135808.0,80.0,96128.0,1871,1481
T437,T446,river,167296.0,80.0,92288.0,2117,1451
T437,T447,river,154624.0,80.0,97920.0,2018,1495
T441,T460,river,69504.0,80.0,105472.0,1353,1554
T441,T462,river,73600.0,80.0,104448.0,1385,1546
T443,T444,river,97408.0,80.0,93184.0,1571,1458
T444,T450,river,91392.0,80.0,100224.0,1524,1513
T444,T454,river,89856.0,80.0,103680.0,1512,1540
T444,T462,river,79872.0,80.0,104704.0,1434,1548
T446,T447,river,169344.0,80.0,96000.0,2133,1480
T448,T454,river,99328.0,80.0,107264.0,1586,1568
T448,T466,river,99200.0,80.0,109952.0,1585,1589
T469,T475,river,55680.0,80.0,124416.0,1245,1702
T470,T475,river,52864.0,80.0,123520.0,1223,1695
T472,T475,river,49920.0,80.0,125440.0,1200,1710
T473,T475,river,44928.0,80.0,128640.0,1161,1735
T473,T477,river,40448.0,80.0,130304.0,1126,1748
T473,T478,river,33920.0,80.0,132352.0,1075,1764
T474,T475,river,57216.0,80.0,128128.0,1257,1731
T475,T479,river,53504.0,80.0,133504.0,1228,1773
T477,T503,river,46720.0,80.0,140032.0,1175,1824
T478,T485,river,36992.0,80.0,141824.0,1099,1838
T478,T491,river,33408.0,80.0,143872.0,1071,1854
T481,T484,river,105472.0,80.0,141056.0,1634,1832
T481,T486,river,107520.0,80.0,140416.0,1650,1827
T483,T488,river,17152.0,80.0,146432.0,944,1874
T483,T491,river,30080.0,80.0,145152.0,1045,1864
T484,T486,river,104960.0,80.0,144128.0,1630,1856
T484,T492,river,100864.0,80.0,145664.0,1598,1868
T485,T503,river,46080.0,80.0,144128.0,1170,1856
T491,T511,river,43392.0,80.0,162560.0,1149,2000
T493,T504,river,125824.0,80.0,166144.0,1793,2028
T496,T507,river,17792.0,80.0,166144.0,949,2028
T496,T517,river,8704.0,80.0,169600.0,878,2055
T500,T510,river,58368.0,80.0,166144.0,1266,2028
T500,T655,river,55424.0,80.0,162944.0,1243,2003
T503,T511,river,43904.0,80.0,163456.0,1153,2007
T507,T517,river,12672.0,80.0,175616.0,909,2102
T507,T525,river,14080.0,80.0,181248.0,920,2146
T509,T655,river,106112.0,80.0,172672.0,1639,2079
T510,T514,river,75264.0,80.0,180224.0,1398,2138
T510,T655,river,70144.0,80.0,171648.0,1358,2071
T513,T543,river,-6144.0,80.0,198144.0,762,2278
T514,T535,river,93440.0,80.0,188800.0,1540,2205
T514,T655,river,87808.0,80.0,179200.0,1496,2130
T516,T535,river,102912.0,80.0,191360.0,1614,2225
T516,T655,river,99712.0,80.0,177408.0,1589,2116
T517,T525,river,12288.0,80.0,190336.0,906,2217
T519,T525,river,15872.0,80.0,185216.0,934,2177
T519,T536,river,31872.0,80.0,192384.0,1059,2233
T523,T536,river,49152.0,80.0,198016.0,1194,2277
T524,T537,river,123520.0,80.0,195712.0,1775,2259
T536,T540,river,55936.0,80.0,201600.0,1247,2305
T537,T549,river,138752.0,80.0,212480.0,1894,2390
T540,T552,river,62336.0,80.0,211840.0,1297,2385
T541,T557,river,104064.0,80.0,219776.0,1623,2447
T543,T558,river,6912.0,80.0,225408.0,864,2491
T544,T557,river,108800.0,80.0,218624.0,1660,2438
T548,T551,river,130816.0,80.0,217984.0,1832,2433
T548,T557,river,116480.0,80.0,220800.0,1720,2455
T549,T564,river,133248.0,80.0,232192.0,1851,2544
T550,T552,river,70016.0,80.0,222976.0,1357,2472
T550,T557,river,99840.0,80.0,223872.0,1590,2479
T552,T556,river,70656.0,80.0,229632.0,1362,2524
T552,T566,river,70272.0,80.0,234240.0,1359,2560
T552,T568,river,55936.0,80.0,237440.0,1247,2585
T556,T557,river,96512.0,80.0,232832.0,1564,2549
T556,T565,river,92544.0,80.0,236544.0,1533,2578
T556,T566,river,81664.0,80.0,233344.0,1448,2553
T557,T565,river,98816.0,80.0,241408.0,1582,2616
T558,T581,river,14080.0,80.0,241024.0,920,2613
T560,T581,river,20992.0,80.0,239744.0,974,2603
T564,T567,river,137984.0,80.0,239744.0,1888,2603
T586,T590,river,30592.0,80.0,267648.0,1049,2821
T590,T594,river,23680.0,80.0,278528.0,995,2906
T593,T597,river,88448.0,80.0,285440.0,1501,2960
T593,T604,river,100608.0,80.0,290688.0,1596,3001
T594,T605,river,10496.0,80.0,289536.0,892,2992
T596,T609,river,69888.0,80.0,297984.0,1356,3058
T596,T610,river,65536.0,80.0,298752.0,1322,3064
T597,T604,river,94592.0,80.0,297344.0,1549,3053
T597,T607,river,89088.0,80.0,299264.0,1506,3068
T602,T607,river,82944.0,80.0,300800.0,1458,3080
T602,T609,river,74240.0,80.0,299392.0,1390,3069
