row,waypoint_number,default_waypoint_name,waypoint_id_suggestion,level,map_region,current_ruling_faction,current_ruling_player,default_factions_present,capital_faction,default_ruler_player,new_waypoint_name,conquest_achieved
136,211,Forlindon,forlindon,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
137,226,Forlond,forlond,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
138,157,Harlindon,harlindon,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
139,161,Harlond,harlond,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
140,81,North Mithlond,north_mithlond,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
141,210,Rivendell,rivendell,3,RIVENDELL_VALE,HIGH_ELVES,AlcoholicCat,HIGH_ELF (RIVENDELL),,AlcoholicCat,,
142,266,South Mithlond,south_mithlond,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
143,62,Brandywine Bridge,brandywine_bridge,3,SHIRE,HOBBIT,,HOBBIT,,,,
144,105,Brockenborings,brockenborings,3,SHIRE,HOBBIT,,HOBBIT,,,,
145,284,Bucklebury,bucklebury,3,SHIRE,HOBBIT,,HOBBIT,,,,
146,267,Bywater,bywater,3,SHIRE,HOBBIT,,HOBBIT,,,,
147,17,Deephallow,deephallow,3,SHIRE,HOBBIT,,HOBBIT,,,,
148,232,Frogmorton,frogmorton,3,SHIRE,HOBBIT,,HOBBIT,,,,
149,98,Greenholm,greenholm,3,SHIRE,HOBBIT,,HOBBIT,,,,
150,119,Hay Gate,hay_gate,3,SHIRE,HOBBIT,,HOBBIT,,,,
151,124,Haysend,haysend,3,SHIRE,HOBBIT,,HOBBIT,,,,
152,47,Hobbiton,hobbiton,3,SHIRE,HOBBIT,,HOBBIT,,,,
153,277,Little Delving,little_delving,3,SHIRE,HOBBIT,,HOBBIT,,,,
154,86,Longbottom,longbottom,3,SHIRE,HOBBIT,,HOBBIT,,,,
155,104,Michel Delving,michel_delving,3,SHIRE,HOBBIT,,HOBBIT,,,,
156,205,Needlehole,needlehole,2,SHIRE (MOORS),HOBBIT,,HOBBIT,,,,
157,191,Nobottle,nobottle,2,SHIRE (MOORS),HOBBIT,,HOBBIT,,,,
158,155,Oatbarton,oatbarton,2,SHIRE (MOORS),HOBBIT,,HOBBIT,,,,
159,243,Overhill,overhill,3,SHIRE,HOBBIT,,HOBBIT,,,,
160,160,Sarn Ford,sarn_ford,3,SHIRE,HOBBIT,,HOBBIT,,,,
161,248,Scary,scary,3,SHIRE,HOBBIT,,HOBBIT,,,,
162,263,Stock,stock,3,SHIRE,HOBBIT,,HOBBIT,,,,
163,87,Tighfield,tighfield,3,SHIRE,HOBBIT,,HOBBIT,,,,
164,41,Tuckborough,tuckborough,3,SHIRE,HOBBIT,,HOBBIT,,,,
165,182,Waymeet,waymeet,3,SHIRE,HOBBIT,Neutral Zone,HOBBIT,,,,
166,252,Whitfurrows,whitfurrows,3,SHIRE,HOBBIT,,HOBBIT,,,,
167,171,Willowbottom,willowbottom,3,SHIRE,HOBBIT,,HOBBIT,,,,
168,97,Isengard,isengard,3,NAN_CURUNIR,ISENGARD,Lil_Hashy,ISENGARD,,Lil_Hashy,,
169,278,Orthanc (Capital),orthanc_capital,3,NAN_CURUNIR,ISENGARD,Lil_Hashy,ISENGARD,,Lil_Hashy,,
170,225,Sapper's Grove,sapper_s_grove,2,FANGORN_WASTELAND,ISENGARD,Lil_Hashy,ISENGARD,,Lil_Hashy,,
171,111,Shagrat's Tomb,shagrat_s_tomb,3,URUK_HIGHLANDS,ISENGARD,Lil_Hashy,ISENGARD,,Lil_Hashy,,
172,203,Uruk Highlands,uruk_highlands,3,URUK_HIGHLANDS,ISENGARD,Lil_Hashy,ISENGARD,,Lil_Hashy,,
173,197,Caras Galadhon,caras_galadhon,3,LOTHLORIEN,LOTHLORIEN,Groove_Sloth,LOTHLORIEN,,Groove_Sloth,,
174,188,Cerin Amroth,cerin_amroth,3,LOTHLORIEN,LOTHLORIEN,Groove_Sloth,LOTHLORIEN,,Groove_Sloth,,
175,107,Dimrill Dale,dimrill_dale,1,VALES_OF_ANDUIN (HILLS),LOTHLORIEN,Groove_Sloth,"LOTHLORIEN, GUNDABAD",,Groove_Sloth,,
176,42,Field of Celebrant,field_of_celebrant,1,VALES_OF_ANDUIN (CELEBRANT),LOTHLORIEN,Groove_Sloth,"LOTHLORIEN, GUNDABAD",,Groove_Sloth,,
177,141,House of Nimrodel,house_of_nimrodel,3,LOTHLORIEN,LOTHLORIEN,Groove_Sloth,LOTHLORIEN,,Groove_Sloth,,
178,219,Amon Angren,amon_angren,3,MORDOR,MORDOR,M3atyman,MORDOR,"We need to adjust the ""FACTION"" column to correspond to what troops spawn there.",M3atyman,,
179,148,Amon Hen,amon_hen,1,EMYN_MUIL,MORDOR,M3atyman,MORDOR,,M3atyman,,
180,212,Amon Lhaw,amon_lhaw,1,EMYN_MUIL,MORDOR,M3atyman,MORDOR,,M3atyman,,
181,36,Argonath,argonath,1,EMYN_MUIL,MORDOR,M3atyman,MORDOR,,M3atyman,,
182,32,Barad-dûr,barad_d_r,3,MORDOR (GORGOROTH),MORDOR,M3atyman,MORDOR,,M3atyman,,
183,272,Black Gate,black_gate,3,DAGORLAD,MORDOR,M3atyman,MORDOR,,M3atyman,,
184,216,Carach Angren,carach_angren,3,MORDOR,MORDOR,M3atyman,MORDOR,,M3atyman,,
185,174,Cirith Ungol,cirith_ungol,3,MORDOR (MOUNTIANS),MORDOR,M3atyman,MORDOR,,M3atyman,,
186,102,Dunurnen,dunurnen,2,NURN,MORDOR,M3atyman,MORDOR,,M3atyman,,
187,30,Durthang,durthang,3,MORDOR (MOUNTIANS),MORDOR,M3atyman,MORDOR,,M3atyman,,
188,143,Eastern Guard,eastern_guard,3,MORDOR (EASTERN_DESOLATION),MORDOR,M3atyman,MORDOR,,M3atyman,,
189,180,Fornurnen,fornurnen,2,NURN,MORDOR,M3atyman,MORDOR,,M3atyman,,
190,126,Harnurnen,harnurnen,2,NURN,MORDOR,M3atyman,MORDOR,,M3atyman,,
191,44,Minas Morgul (Capital),minas_morgul_capital,3,MORDOR (MORGUL_VALE),MORDOR,M3atyman,MORDOR (MINUS_MORGUL),,M3atyman,,
192,54,Mornost,mornost,3,MORDOR (MOUNTIANS),MORDOR,M3atyman,MORDOR,,M3atyman,,
193,75,Mount Doom,mount_doom,3,MORDOR (GORGOROTH),MORDOR,M3atyman,MORDOR,,M3atyman,,
194,22,Narroth,narroth,3,MORDOR (MOUNTIANS),MORDOR,M3atyman,MORDOR,,M3atyman,,
195,152,Rhunurnen,rhunurnen,2,NURN,MORDOR,M3atyman,MORDOR,,M3atyman,,
196,70,Seregost,seregost,3,MORDOR,MORDOR,M3atyman,MORDOR,,M3atyman,,
197,49,Thorband,thorband,2,NURN,MORDOR,M3atyman,MORDOR,,M3atyman,,
198,264,Vale of the Fell Beasts,vale_of_the_fell_beasts,3,MORDOR,MORDOR,M3atyman,MORDOR,,M3atyman,,
199,23,Valley of Spiders,valley_of_spiders,3,NAN_UNGOL,MORDOR,M3atyman,MORDOR (NAN_UNGOL),,M3atyman,,
200,4,Valley of Udûn,valley_of_ud_n,3,MORDOR (UDÛN),MORDOR,M3atyman,MORDOR,,M3atyman,,
201,34,Bridge of Haraduin,bridge_of_haraduin,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
202,221,Deep Harad,deep_harad,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
203,255,Hill of the Sun,hill_of_the_sun,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
204,132,Hunters' Haunt,hunters_haunt,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
205,190,Nan Harnagorath,nan_harnagorath,1,FAR_HARAD (GRASSLANDS),MORWAITH,Neutral Zone,MORWAITH,,,,
206,151,Nin Haecharad,nin_haecharad,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
207,231,Town of Bones,town_of_bones,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
208,168,Upper Floodplains,upper_floodplains,1,FAR_HARAD (GRASSLANDS),MORWAITH,,MORWAITH,,,,
209,53,Balcharas,balcharas,1,RHUN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
210,115,Baraz-tûm,baraz_t_m,1,RED_MOUNTAINS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
211,58,Beorn's Hall,beorn_s_hall,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
212,192,Carrock,carrock,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
213,67,Chunha,chunha,1,FAR_HARAD (SWAMPLAND),NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
214,73,Crossroads of Anduin,crossroads_of_anduin,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
215,234,East Rhovanion Gate,east_rhovanion_gate,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
216,257,Eryn Vorn,eryn_vorn,1,ERIADOR,NONE,Neutral Zone,"GUNDABAD, DUNEDAIN",,Neutral Zone,,
