# KOME gameplay defaults 1
tile,routeX,routeZ,arrivalX,arrivalY,arrivalZ,legacyOutside
T196,7506.928322894921,7068.949199721639,7506.928322894921,80.0,7068.949199721639,
T197,65221.449416681164,7230.027511753433,65221.449416681164,80.0,7230.027511753433,
T198,114612.44537638917,7985.654015516877,114612.44537638917,80.0,7985.654015516877,
T199,144752.0065546907,8000.550594018845,144752.0065546907,80.0,8000.550594018845,
T200,24441.422169106663,8040.729011054675,24441.422169106663,80.0,8040.729011054675,
T201,128685.68577596545,9288.182297913168,128685.68577596545,80.0,9288.182297913168,
T202,-14578.082372322897,9410.319604612843,-14578.082372322897,80.0,9410.319604612843,
T203,10350.135922330097,9720.543689320388,10350.135922330097,80.0,9720.543689320388,
T204,14336.458781362002,10114.408602150535,14336.458781362002,80.0,10114.408602150535,
T205,-2950.8825359206094,10249.802399644497,-2950.8825359206094,80.0,10249.802399644497,
T206,-29591.573641375682,10572.013651877132,-29591.573641375682,80.0,10572.013651877132,
T207,57084.11525163273,10925.338455628123,57084.11525163273,80.0,10925.338455628123,
T208,27665.78407079645,11733.635398230093,27665.78407079645,80.0,11733.635398230093,
T209,118391.05040650407,11745.092682926828,118391.05040650407,80.0,11745.092682926828,
T210,190725.8566703418,12151.603087100331,190725.8566703418,80.0,12151.603087100331,
T211,81701.72631578948,12180.816842105269,81701.72631578948,80.0,12180.816842105269,
T212,74281.79696243006,12237.864108713024,74281.79696243006,80.0,12237.864108713024,
T213,146978.59354052405,12590.137720901883,146978.59354052405,80.0,12590.137720901883,
T214,153962.31857031854,13138.15073815074,153962.31857031854,80.0,13138.15073815074,
T215,134196.025477707,13474.191082802543,134196.025477707,80.0,13474.191082802543,
T216,126340.52208047104,14171.446516192344,126340.52208047104,80.0,14171.446516192344,
T217,33417.20847190617,14431.221424820586,33417.20847190617,80.0,14431.221424820586,
T218,40570.721649484534,14448.912714776627,40570.721649484534,80.0,14448.912714776627,
T219,182205.76407727087,14556.383066173454,182205.76407727087,80.0,14556.383066173454,
T220,45920.73282442748,14575.389312977102,45920.73282442748,80.0,14575.389312977102,
T222,219597.4973598629,15258.591880267166,219597.4973598629,80.0,15258.591880267166,
T223,48704.0,15717.333333333328,48704.0,80.0,15717.333333333328,
T224,166169.91631564166,15940.385285032287,166169.91631564166,80.0,15940.385285032287,
T225,139999.9828968466,16065.33404596473,139999.9828968466,80.0,16065.33404596473,
T226,119284.29799649873,16767.35265512546,119284.29799649873,80.0,16767.35265512546,
T227,257958.1617281083,16871.837276437596,257958.1617281083,80.0,16871.837276437596,
T228,10418.447317240585,16997.14357624986,10418.447317240585,80.0,16997.14357624986,
T229,20288.412143514273,17015.462741490337,20288.412143514273,80.0,17015.462741490337,
T230,-6557.904175824195,17072.330549450548,-6557.904175824195,80.0,17072.330549450548,
T231,51964.21565217391,17169.36347826087,51964.21565217391,80.0,17169.36347826087,
T232,44715.32307692309,17230.769230769234,44715.32307692309,80.0,17230.769230769234,
T233,47564.846292947565,17699.414104882453,47564.846292947565,80.0,17699.414104882453,
T234,197632.0,17792.0,197632.0,80.0,17792.0,
T235,92280.28536285364,18493.52029520295,92280.28536285364,80.0,18493.52029520295,
T236,190445.23524741997,18834.25668166182,190445.23524741997,80.0,18834.25668166182,
T237,56539.87777112043,18837.013780707013,56539.87777112043,80.0,18837.013780707013,
T238,81535.54755784062,18845.285347043697,81535.54755784062,80.0,18845.285347043697,
T239,40344.0,18858.28571428571,40344.0,80.0,18858.28571428571,
T240,26722.704225352107,18950.08450704225,26722.704225352107,80.0,18950.08450704225,
T241,111627.72359843543,19058.607561929603,111627.72359843543,80.0,19058.607561929603,
T242,93030.3534187137,19500.709076912317,93030.3534187137,80.0,19500.709076912317,RESOLVED:T235
T243,106634.78030150753,19600.646432160807,106634.78030150753,80.0,19600.646432160807,
T244,145100.824993898,19661.137417622653,145100.824993898,80.0,19661.137417622653,
T245,-19743.083883883883,20359.751751751755,-19743.083883883883,80.0,20359.751751751755,
T246,71913.32306974576,20422.120830417538,71913.32306974576,80.0,20422.120830417538,
T247,48196.57142857142,20631.27272727272,48196.57142857142,80.0,20631.27272727272,
T248,133400.5517241379,21333.241379310348,133400.5517241379,80.0,21333.241379310348,
T249,194152.93333333335,21383.77777777778,194152.93333333335,80.0,21383.77777777778,
T250,61948.92705447829,22001.65170821792,61948.92705447829,80.0,22001.65170821792,
T251,174080.0,22016.0,174080.0,80.0,22016.0,
T252,33693.3058040835,22954.05001147052,33693.3058040835,80.0,22954.05001147052,
T253,53190.26910656621,23465.472551130253,53190.26910656621,80.0,23465.472551130253,
T254,181770.32511241315,23495.56070309307,181770.32511241315,80.0,23495.56070309307,
T255,119260.10265982267,24116.86047596825,119260.10265982267,80.0,24116.86047596825,
T256,2179.1524667128397,24942.79935349805,2179.1524667128397,80.0,24942.79935349805,
T258,210304.0,25728.0,210304.0,80.0,25728.0,
T259,153839.23492723494,25812.091476091475,153839.23492723494,80.0,25812.091476091475,
T260,210688.0,25856.0,210688.0,80.0,25856.0,
T261,148290.45106382982,26242.995744680855,148290.45106382982,80.0,26242.995744680855,
T262,141102.69310071372,26451.489294210944,141102.69310071372,80.0,26451.489294210944,
T263,164113.35977337108,26481.291784702553,164113.35977337108,80.0,26481.291784702553,
T264,-9600.0,26496.0,-9600.0,80.0,26496.0,
T265,80825.19148936166,27056.236566895066,80825.19148936166,80.0,27056.236566895066,
T266,53093.039492930286,27535.456525272224,53093.039492930286,80.0,27535.456525272224,
T267,34503.02726602802,27571.926308032445,34503.02726602802,80.0,27571.926308032445,
T268,20786.455191203655,27834.13992410236,20786.455191203655,80.0,27834.13992410236,
T269,233398.31300917588,27956.900666037793,233398.31300917588,80.0,27956.900666037793,
T270,69983.51919866443,28246.074123539234,69983.51919866443,80.0,28246.074123539234,
T272,48662.17322834645,30123.170603674545,48662.17322834645,80.0,30123.170603674545,
T273,131122.4267352185,30724.93573264782,131122.4267352185,80.0,30724.93573264782,
T274,-8838.549222797912,30773.637305699478,-8838.549222797912,80.0,30773.637305699478,
T275,123512.4705882353,31581.86666666667,123512.4705882353,80.0,31581.86666666667,
T276,196609.3627827007,31680.846448882425,196609.3627827007,80.0,31680.846448882425,
T277,119317.86893617024,31746.042553191495,119317.86893617024,80.0,31746.042553191495,
T278,152752.9482220836,31856.509045539613,152752.9482220836,80.0,31856.509045539613,
T279,30836.35320484088,32584.462572837292,30836.35320484088,80.0,32584.462572837292,
T280,176918.1109123435,32606.840787119843,176918.1109123435,80.0,32606.840787119843,
T281,67346.45958795561,32815.87321711569,67346.45958795561,80.0,32815.87321711569,
T282,141421.45397815912,32973.40405616225,141421.45397815912,80.0,32973.40405616225,
T283,45661.871357888944,33732.6794942276,45661.871357888944,80.0,33732.6794942276,
T284,10591.807099799073,34161.46818486269,10591.807099799073,80.0,34161.46818486269,
T285,78606.03714466203,34904.184965255845,78606.03714466203,80.0,34904.184965255845,
T286,60071.38872651357,35013.07724425888,60071.38872651357,80.0,35013.07724425888,
T287,50840.54355981658,35226.51771571489,50840.54355981658,80.0,35226.51771571489,
T288,103333.45169415008,35265.80962790476,103333.45169415008,80.0,35265.80962790476,
T289,286.9850057670119,35319.23414071511,286.9850057670119,80.0,35319.23414071511,
T290,145577.86184909672,36258.27842720511,145577.86184909672,80.0,36258.27842720511,IN_BOUNDS_GAP:
T292,133740.47119875453,36793.85573430202,133740.47119875453,80.0,36793.85573430202,
T296,128572.76325433666,36975.050085511844,128572.76325433666,80.0,36975.050085511844,
T297,69985.5941676792,37356.792223572294,69985.5941676792,80.0,37356.792223572294,
T298,90071.49908814591,37973.32036474164,90071.49908814591,80.0,37973.32036474164,
T299,31995.13463587922,38200.656483126106,31995.13463587922,80.0,38200.656483126106,
T300,45350.17912900576,38477.304847986845,45350.17912900576,80.0,38477.304847986845,
T301,38702.07999999999,38541.65333333332,38702.07999999999,80.0,38541.65333333332,
T302,152165.53424657535,38669.123287671246,152165.53424657535,80.0,38669.123287671246,
T303,188054.88810620428,39525.245191005146,188054.88810620428,80.0,39525.245191005146,
T304,263374.53807695094,39966.20766611115,263374.53807695094,80.0,39966.20766611115,
T305,45302.595918367355,40561.37142857144,45302.595918367355,80.0,40561.37142857144,
T306,25061.48373101953,40793.12798264643,25061.48373101953,80.0,40793.12798264643,
T307,55982.37329286797,41028.17602427921,55982.37329286797,80.0,41028.17602427921,
T308,166400.51180188317,41264.48084612409,166400.51180188317,80.0,41264.48084612409,
T309,43135.07581227436,41336.144404332124,43135.07581227436,80.0,41336.144404332124,
T310,37208.21621621621,41615.567567567574,37208.21621621621,80.0,41615.567567567574,
T311,40427.87223587223,42041.23832923832,40427.87223587223,80.0,42041.23832923832,
T312,138607.92426633008,42128.92395077311,138607.92426633008,80.0,42128.92395077311,RESOLVED:T290
T313,15443.661161777985,42257.08980363159,15443.661161777985,80.0,42257.08980363159,
T314,72746.0025940337,42320.56031128403,72746.0025940337,80.0,42320.56031128403,
T315,37018.98795180724,42836.04819277109,37018.98795180724,80.0,42836.04819277109,
T316,180078.45925925928,42922.82469135802,180078.45925925928,80.0,42922.82469135802,
T317,234046.67990832694,43544.039564151026,234046.67990832694,80.0,43544.039564151026,
T318,207555.87636363634,44000.530909090914,207555.87636363634,80.0,44000.530909090914,
T319,118477.39842283141,44192.43259481789,118477.39842283141,80.0,44192.43259481789,
T320,31616.111498257844,44985.19860627179,31616.111498257844,80.0,44985.19860627179,
T321,37143.272727272735,45164.60606060605,37143.272727272735,80.0,45164.60606060605,
T322,127112.22018348624,45500.06783430636,127112.22018348624,80.0,45500.06783430636,
T323,41133.93333333332,45691.0,41133.93333333332,80.0,45691.0,
T324,52561.86283891546,45692.7336523126,52561.86283891546,80.0,45692.7336523126,
T325,46611.39880765611,45815.686225290236,46611.39880765611,80.0,45815.686225290236,
T326,84963.99944266406,47072.30764943571,84963.99944266406,80.0,47072.30764943571,
T328,62011.819970692915,47513.87063010258,62011.819970692915,80.0,47513.87063010258,
T329,134372.7223008015,47596.92975011788,134372.7223008015,80.0,47596.92975011788,
T330,7732.646575342471,48194.14794520548,7732.646575342471,80.0,48194.14794520548,
T331,143104.10799865003,48389.87512656092,143104.10799865003,80.0,48389.87512656092,
T332,68657.45454545456,48674.90909090909,68657.45454545456,80.0,48674.90909090909,
T333,28701.744384198304,48758.2835011619,28701.744384198304,80.0,48758.2835011619,
T334,101411.5756062193,49065.742044630635,101411.5756062193,80.0,49065.742044630635,
T335,40937.739130434784,49215.07246376813,40937.739130434784,80.0,49215.07246376813,
T336,72010.92682926831,49770.146341463405,72010.92682926831,80.0,49770.146341463405,
T337,35458.68424206111,50235.28340323546,35458.68424206111,80.0,50235.28340323546,
T338,130154.22306238185,50316.58223062381,130154.22306238185,80.0,50316.58223062381,
T339,69079.79487179487,50477.12820512822,69079.79487179487,80.0,50477.12820512822,
T340,77028.18519770194,50503.33220682663,77028.18519770194,80.0,50503.33220682663,
T342,49024.53222453222,51044.85654885654,49024.53222453222,80.0,51044.85654885654,
T343,67076.41379310342,51191.1724137931,67076.41379310342,80.0,51191.1724137931,
T344,196494.78028306493,51525.97833089312,196494.78028306493,80.0,51525.97833089312,
T345,27740.866333095066,53294.867762687645,27740.866333095066,80.0,53294.867762687645,
T346,86136.1732484076,53567.42929936305,86136.1732484076,80.0,53567.42929936305,
T347,46941.09090909091,54000.48484848486,46941.09090909091,80.0,54000.48484848486,
T348,49824.98159509202,54089.81595092025,49824.98159509202,80.0,54089.81595092025,
T349,157166.96316836457,54605.753692205675,157166.96316836457,80.0,54605.753692205675,
T350,176922.89413496933,54720.31096932516,176922.89413496933,80.0,54720.31096932516,
T351,74322.68789275241,55163.06661080854,74322.68789275241,80.0,55163.06661080854,
T352,81378.75862068965,55323.03448275861,81378.75862068965,80.0,55323.03448275861,
T353,68319.69348659003,56293.39463601532,68319.69348659003,80.0,56293.39463601532,
T354,55787.55878787878,56794.64727272728,55787.55878787878,80.0,56794.64727272728,
T355,135307.16602711694,57594.85904323356,135307.16602711694,80.0,57594.85904323356,
T356,84748.04181184669,57822.104529616714,84748.04181184669,80.0,57822.104529616714,
T357,90195.27710843374,58161.697629226575,90195.27710843374,80.0,58161.697629226575,
T358,78887.5490605428,58536.21711899791,78887.5490605428,80.0,58536.21711899791,
T359,61848.12926391381,59104.17235188509,61848.12926391381,80.0,59104.17235188509,
T360,11636.706523590532,59205.06898313746,11636.706523590532,80.0,59205.06898313746,
T361,144738.46153846153,59219.08242459968,144738.46153846153,80.0,59219.08242459968,
T362,202469.31448763248,59226.68551236749,202469.31448763248,80.0,59226.68551236749,
