# KOME gameplay defaults 1
tile,priority,waypoint
T179,0,MICHEL_DELVING
T180,0,GREENHOLM
T181,0,TOWER_HILLS
T182,0,WILLOWBOTTOM
T187,0,SOUTH_DOWNS
T189,0,LONGBOTTOM
T190,0,RHOSGOBEL
T196,0,SARN_FORD
T202,0,THRAIN_HALLS
T204,0,GREENWAY_CROSSROADS
T206,0,HARLOND
T207,0,GLADDEN_FIELDS
T210,0,BARAZ_DUM
T211,0,EAST_BIGHT
T213,0,RHUN_NORTH_FORD
T214,0,RHUN_NORTHEAST
T217,0,OLD_ELF_WAY
T218,0,OST_IN_EDHIL
T219,0,RHUN_ROAD_WAY
T220,0,MOUNT_CARADHRAS
T223,0,MOUNT_FANUIDHOL
T225,0,KHAMUL_TOWER
T226,0,DORWINION_PORT
T229,0,THARBAD
T231,0,CERIN_AMROTH
T232,0,MOUNT_CELEBDIL
T233,0,DIMRILL_DALE
T235,0,OLD_RHOVANION
T237,0,CARAS_GALADHON
T239,0,WEST_GATE
T241,0,DORWINION_CROSSROADS
T244,0,BAZYLAN
T245,0,HARLINDON
T246,0,DOL_GULDUR
T247,0,NIMRODEL
T250,0,ANDUIN_CROSSROADS
T255,0,DORWINION_COURT
T261,0,RHUN_EAST_TOWN
T262,0,RHUN_NORTH_CITY
T266,0,FIELD_OF_CELEBRANT
T267,0,NORTH_DUNLAND
T270,0,EAST_RHOVANION_ROAD
T273,0,RHUN_SEA_CITY
T274,0,ERYN_VORN
T275,0,DORWINION_FORD
T277,0,DORWINION_HILLS
T278,0,RHUN_EAST_CITY
T279,0,DWARROWVALE
T281,0,NORTH_UNDEEP
T283,0,WELLINGHALL
T284,0,LOND_DAER
T286,0,WOLD
T287,0,TREEBEARD_HILL
T292,0,RHUN_CAPITAL
T296,0,BORDER_TOWN
T297,0,SOUTH_UNDEEP
T299,0,SOUTH_DUNLAND
T300,0,DERNDINGLE
T301,0,MOUNT_METHEDRAS
T306,0,ENEDWAITH_ROAD
T311,0,URUK_HIGHLANDS
T312,0,RHUN_SOUTH_PASS
T315,0,ISENGARD
T316,0,BALCARAS
T320,0,WULFBURG
T321,0,FORDS_OF_ISEN
T323,0,HELMS_CROSSROADS
T324,0,ENTWADE
T325,0,GRIMSLADE
T326,0,MORANNON
T328,0,EASTMARK
T329,0,MORDOR_FORD
T330,0,MOUTHS_ISEN
T331,0,RHUN_SOUTHEAST
T332,0,ARGONATH
T333,0,CORSAIRS_LANDING
T335,0,HELMS_DEEP
T336,0,AMON_LHAW
T337,0,FRECA_HOLD
T339,0,RAUROS
T343,0,AMON_HEN
T346,0,UDUN
T347,0,DUNHARROW
T348,0,EDORAS
T352,0,NORTH_ITHILIEN
T354,0,ALDBURG
T355,0,EASTERN_GUARD
T356,0,DURTHANG
T357,0,CARACH_ANGREN
T359,0,MERING_STREAM
T363,0,SEREGOST
T364,0,FELLBEASTS
T364,1,AMON_ANGREN
T365,0,CALENHAD
T366,0,HALIFIRIEN
T367,0,MINRIMMON
T368,0,ERELAS
T369,0,MOUNT_DOOM
T370,0,CAIR_ANDROS
T371,0,NARDOL
T372,0,TARLANG
T375,0,HENNETH_ANNUN
T375,1,CROSSROADS_ITHILIEN
T376,0,EILENACH
T377,0,ERECH
T378,0,BARAD_DUR
T379,0,AMON_DIN
T381,0,MINAS_MORGUL
T383,0,CALEMBEL
T384,0,OSGILIATH_WEST
T385,0,ETHRING
T386,0,OSGILIATH_EAST
T388,0,MINAS_TIRITH
T389,0,IMLOTH_MELUI
T390,0,GREEN_HILLS
T391,0,CIRITH_UNGOL
T398,0,CROSSINGS_ERUI
T399,0,NARGROTH
T402,0,EMYN_ARNEN
T403,0,NURNEN_EASTERN_SHORE
T407,0,NURNEN_NORTHERN_SHORE
T409,0,KHAND_NORTH_ROAD
T410,0,EDHELLOND
T413,0,LINHIR
T417,0,THAURBAND
T418,0,TARNOST
T419,0,RAS_MORTHIL
T421,0,PELARGIR
T422,0,DOL_AMROTH
T423,0,MORIGOST
T430,0,NURNEN_WESTERN_SHORE
T431,0,ANDUIN_MOUTH
T433,0,NURNEN_SOUTHERN_SHORE
T434,0,TOLFALAS_ISLAND
T435,0,CROSSINGS_OF_POROS
T439,0,KHAND_FORD
T443,0,HARNEN_BLACK_TOWN
T444,0,CROSSINGS_OF_HARAD
T450,0,CROSSINGS_OF_LITHNEN
T455,0,HARNEN_ROAD_TOWN
T457,0,COAST_FORTRESS
T460,0,HARNEN_SEA_TOWN
T462,0,HARNEN_RIVER_TOWN
T464,0,SANDHILL_TOWN
T466,0,DESERT_TOWN
T467,0,GATE_FUINUR
T469,0,UMBAR_GATE
T470,0,UMBAR_CITY
T473,0,GATE_HERUMOR
T474,0,AIN_AL_HARAD
T475,0,COAST_CITY
T477,0,FERTILE_VALLEY
T478,0,COAST_RIVER_TOWN
T479,0,GARDENS_BERUTHIEL
T483,0,CEDAR_ROAD
T486,0,GULF_NORTH_TOWN
T487,0,MOUNT_SAND
T492,0,GULF_CITY
T493,0,GULF_OF_HARAD
T497,0,GULF_TRADE_TOWN
T503,0,SOUTH_DESERT_TOWN
T506,0,GULF_EAST_PORT
T508,0,GULF_EAST_BAY
T510,0,GREAT_PLAINS_NORTH
T516,0,GREAT_PLAINS_EAST
T519,0,GREAT_PLAINS_WEST
T524,0,TOWN_BONES
T537,0,HARAD_LAKES
T539,0,TROLL_ISLAND
T542,0,MOUNT_GREEN
T549,0,BLACK_COAST
T550,0,GREAT_PLAINS_SOUTH
T551,0,OLD_JUNGLE_RUIN
T558,0,TAURELONDE
T562,0,MOUNT_THUNDER
T563,0,LAKE_HARAD
T565,0,GREEN_VALLEY
T566,0,JUNGLE_CITY_NORTH
T567,0,BLOOD_RIVER
T575,0,HARADUIN_BRIDGE
T577,0,JUNGLE_CITY_OLD
T581,0,JUNGLE_CITY_TRADE
T583,0,JUNGLE_CITY_EAST
T585,0,JUNGLE_CITY_STONE
T587,0,SHADOW_POINT
T588,0,JUNGLE_LAKES
T589,0,HARADUIN_MOUTH
T591,0,JUNGLE_CITY_CAPITAL
T593,0,JUNGLE_CITY_WATCH
T598,0,JUNGLE_CITY_CAVES
T612,0,JUNGLE_CITY_DEEP
T644,0,ISLE_MIST
T649,0,HARAD_HORN
T654,0,VALLEY_OF_SPIDERS
T655,0,DESERT_RIVER_TOWN
