tile_id,default_ruling_faction,waypoint_level,map_region,source,balance_weight,reason,questionable
T022,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 466.4px away.,NO
T023,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 495.0px away.,NO
T024,ANGMAR,1,FORODWAITH,WAYPOINT_DEFAULT,2,Waypoint default: Cape of Forochel,NO
T025,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T040 is 150.8px away.,NO
T026,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T040 is 149.7px away.,NO
T027,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 881.0px away.,NO
T028,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 881.0px away.,NO
T029,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 886.3px away.,NO
T030,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T031,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 908.5px away.,NO
T032,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 907.2px away.,NO
T033,BLUE_MOUNTAINS,0,BLUE_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T035; nearest clear faction anchor 25.1px away,NO
T034,ANGMAR,1,FORODWAITH,WAYPOINT_DEFAULT,2,Waypoint default: South Forochel,NO
T035,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Arvedui's Mines,NO
T036,BLUE_MOUNTAINS,0,BLUE_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T035; nearest clear faction anchor 45.9px away,NO
T037,ANGMAR,0,FORODWAITH,CORE_EXPANSION,1,Connected core expansion from T034; nearest clear faction anchor 61.2px away,NO
T039,,1,OCEAN,WAYPOINT_DEFAULT,0,Waypoint default: Himling,NO
T040,ANGMAR,2,ANGMAR (MOUNTIANS),WAYPOINT_DEFAULT,6,Waypoint default: Carn Dum,NO
T041,BLUE_MOUNTAINS,0,BLUE_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T042; nearest clear faction anchor 43.3px away,NO
T042,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Mount Rerir,NO
T043,ANGMAR,0,FORODWAITH,CORE_EXPANSION,1,Connected core expansion from T034; nearest clear faction anchor 85.5px away,NO
T044,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 836.6px away.,NO
T046,ANGMAR,0,FORODWAITH,CORE_EXPANSION,1,Connected core expansion from T034; nearest clear faction anchor 71.9px away,NO
T047,,1,OCEAN,WAYPOINT_DEFAULT,0,Waypoint default: Tol Fuin,NO
T048,ANGMAR,0,ANGMAR (MOUNTIANS),CORE_EXPANSION,1,Connected core expansion from T040; nearest clear faction anchor 35.4px away,NO
T049,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 521.2px away.,NO
T050,BLUE_MOUNTAINS,0,BLUE_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T035; nearest clear faction anchor 55.8px away,NO
T051,ANGMAR,0,ANGMAR (MOUNTIANS),CORE_EXPANSION,1,Connected core expansion from T040; nearest clear faction anchor 57.3px away,NO
T052,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T053,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 637.0px away.,NO
T054,ANGMAR,1,FORODWAITH,WAYPOINT_DEFAULT,2,Waypoint default: Withered Heath,NO
T055,ANGMAR,1,GREY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Dain's Halls,NO
T056,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T086; nearest clear faction anchor 54.8px away,NO
T057,GUNDABAD,0,MISTY_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T063; nearest clear faction anchor 21.8px away,NO
T058,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T085; nearest clear faction anchor 48.4px away,NO
T059,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T085; nearest clear faction anchor 64.1px away,NO
T060,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 413.5px away.,NO
T061,,1,VALES_OF_ANDUIN,WAYPOINT_DEFAULT,0,Waypoint default: Framsburg,NO
T062,ANGMAR,1,GREY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Scatha's Lair,NO
T063,GUNDABAD,2,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Mount Gram,NO
T064,DUNEDAIN,0,ERIADOR,CORE_EXPANSION,1,Connected core expansion from T116; nearest clear faction anchor 88.1px away,NO
T065,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 183.7px away.,NO
T066,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T067,,0,,UNCLAIMED,0,Unclaimed contested border between DUNEDAIN and HOBBIT.,NO
T068,GUNDABAD,2,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Mount Gundabad,NO
T069,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T086; nearest clear faction anchor 23.8px away,NO
T070,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Belegost,NO
T072,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T074,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T075,DURINS_FOLK,3,DALE (EREBOR),WAYPOINT_DEFAULT,8,Waypoint default: Erebor,NO
T076,HIGH_ELVES,3,LINDON,WAYPOINT_DEFAULT,6,Waypoint default: Forlindon,NO
T077,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 297.1px away.,NO
T078,,1,ERIADOR (DOWNS),WAYPOINT_DEFAULT,0,Waypoint default: North Downs,NO
T079,,0,,UNCLAIMED,0,Unclaimed contested border between GUNDABAD and ANGMAR.,NO
T080,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T081,GUNDABAD,0,MISTY_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T063; nearest clear faction anchor 25.9px away,NO
T082,,0,,UNCLAIMED,0,Unclaimed contested border between DURINS_FOLK and DALE.,NO
T083,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 418.9px away.,NO
T084,GUNDABAD,0,MISTY_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T068; nearest clear faction anchor 36.2px away,NO
T085,DURINS_FOLK,2,IRON_HILLS,WAYPOINT_DEFAULT,4,Waypoint default: East Peak,NO
T086,DURINS_FOLK,2,IRON_HILLS,WAYPOINT_DEFAULT,4,Waypoint default: West Peak,NO
T087,DALE,3,DALE,WAYPOINT_DEFAULT,6,Waypoint default: Dale,NO
T088,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T089,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Mount Dolmed,NO
T090,DUNEDAIN,0,ERIADOR (DOWNS),CORE_EXPANSION,1,Connected core expansion from T109; nearest clear faction anchor 53.0px away,NO
T091,DALE,2,DALE,WAYPOINT_DEFAULT,4,Waypoint default: Long Lake,NO
T092,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T093,,0,,UNCLAIMED,0,Unclaimed contested border between DUNEDAIN and GUNDABAD.,NO
T094,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 684.2px away.,NO
T095,,0,,UNCLAIMED,0,Unclaimed contested border between DURINS_FOLK and DALE.,NO
T096,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Nogrod,NO
T097,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T085; nearest clear faction anchor 26.9px away,NO
T098,,0,,UNCLAIMED,0,Unclaimed contested border between DALE and DURINS_FOLK.,NO
T099,GUNDABAD,0,MISTY_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T068; nearest clear faction anchor 56.3px away,NO
T100,WOOD_ELF,3,WOODLAND_REALM,WAYPOINT_DEFAULT,6,Waypoint default: Thranduil's Halls,NO
T101,BLUE_MOUNTAINS,0,BLUE_MOUNTAINS,CORE_EXPANSION,1,Connected core expansion from T108; nearest clear faction anchor 38.5px away,NO
T102,WOOD_ELF,1,MIRKWOOD (NORTHERN),WAYPOINT_DEFAULT,2,Waypoint default: Enchanted River,NO
T103,DURINS_FOLK,0,IRON_HILLS,CORE_EXPANSION,1,Connected core expansion from T085; nearest clear faction anchor 103.3px away,NO
T104,,1,VALES_OF_ANDUIN,WAYPOINT_DEFAULT,0,Waypoint default: Carrock,NO
T105,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 865.8px away.,NO
T106,,1,VALES_OF_ANDUIN,WAYPOINT_DEFAULT,0,Waypoint default: Forest Gate,NO
T107,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 311.0px away.,NO
T108,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Thorin's Halls,NO
T109,DUNEDAIN,1,ERIADOR (DOWNS),WAYPOINT_DEFAULT,2,Waypoint default: Annuminas,NO
T110,GUNDABAD,1,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Eagles' Eyrie,NO
T111,DOL_GULDUR,1,MIRKWOOD (MOUNTIANS),WAYPOINT_DEFAULT,2,Waypoint default: Mountains of Mirkwood,NO
T112,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T113,,0,,UNCLAIMED,0,Unclaimed contested border between WOOD_ELF and DOL_GULDUR.,NO
T114,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 419.8px away.,NO
T115,DALE,2,DALE,WAYPOINT_DEFAULT,4,Waypoint default: Redwater Ford,NO
T116,DUNEDAIN,1,ERIADOR,WAYPOINT_DEFAULT,2,Waypoint default: Fornost,NO
T117,DALE,2,DALE,WAYPOINT_DEFAULT,4,Waypoint default: Great Dalish Crossroads,NO
T118,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 208.4px away.,NO
T119,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T120,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T121,HIGH_ELVES,3,LINDON,WAYPOINT_DEFAULT,6,Waypoint default: Amon Ereb,NO
T122,,1,VALES_OF_ANDUIN,WAYPOINT_DEFAULT,0,Waypoint default: Beorn's Hall,NO
T123,,0,,UNCLAIMED,0,Unclaimed contested border between DUNEDAIN and HIGH_ELVES.,NO
T124,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 238.5px away.,NO
T125,DALE,0,DALE,CORE_EXPANSION,1,Connected core expansion from T115; nearest clear faction anchor 53.5px away,NO
T126,HOBBIT,2,SHIRE (MOORS),WAYPOINT_DEFAULT,4,Waypoint default: Oatbarton,NO
T127,GUNDABAD,2,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Goblin Town,NO
T128,GUNDABAD,1,WILDERLAND,WAYPOINT_DEFAULT,2,Waypoint default: River Gate,NO
T129,,1,OCEAN,WAYPOINT_DEFAULT,0,Waypoint default: Tol Morwen,NO
T130,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T131,HOBBIT,2,SHIRE (MOORS),WAYPOINT_DEFAULT,4,Waypoint default: Needlehole,NO
T132,DUNEDAIN,2,LONE_LANDS,WAYPOINT_DEFAULT,4,Waypoint default: Weathertop,NO
T133,GUNDABAD,2,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: High Pass,NO
T134,HOBBIT,2,SHIRE (MOORS),WAYPOINT_DEFAULT,4,Waypoint default: Nobottle,NO
T135,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Tighfield,NO
T136,DUNEDAIN,0,LONE_LANDS,CORE_EXPANSION,1,Connected core expansion from T142; nearest clear faction anchor 30.0px away,NO
T138,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T139,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Brockenborings,NO
T140,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Scary,NO
T141,HIGH_ELVES,3,RIVENDELL_VALE,WAYPOINT_DEFAULT,6,Waypoint default: Rivendell,NO
T142,DUNEDAIN,1,LONE_LANDS,WAYPOINT_DEFAULT,2,Waypoint default: Last Bridge,NO
T143,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Hay Gate,NO
T144,BREE,2,BREE_LAND,WAYPOINT_DEFAULT,4,Waypoint default: Archet,NO
T145,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Brandywine Bridge,NO
T146,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Overhill,NO
T147,HIGH_ELVES,0,RIVENDELL_VALE,CORE_EXPANSION,1,Connected core expansion from T141; nearest clear faction anchor 21.3px away,NO
T148,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Little Delving,NO
T149,BREE,0,BREE_LAND,CORE_EXPANSION,1,Connected core expansion from T171; nearest clear faction anchor 21.4px away,NO
T150,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,8,Waypoint default: Hobbiton,NO
T152,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Whitfurrows,NO
T153,DALE,2,DALE,WAYPOINT_DEFAULT,4,Waypoint default: Running Ford,NO
T155,,0,,UNCLAIMED,0,Unclaimed contested border between DOL_GULDUR and GUNDABAD.,NO
T156,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 544.1px away.,NO
T157,BREE,2,BREE_LAND,WAYPOINT_DEFAULT,4,Waypoint default: Combe,NO
T158,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Bywater,NO
T159,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T160,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Waymeet,NO
T161,HIGH_ELVES,3,LINDON,WAYPOINT_DEFAULT,6,Waypoint default: Forlond,NO
T162,DALE,0,DALE,CORE_EXPANSION,1,Connected core expansion from T115; nearest clear faction anchor 58.9px away,NO
T163,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 174.6px away.,NO
T164,BREE,3,BREE_LAND,WAYPOINT_DEFAULT,8,Waypoint default: Bree,NO
T165,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 126.5px away.,NO
T166,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Bucklebury,NO
T167,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Frogmorton,NO
T168,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T169,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Stock,NO
T170,,1,OLD_FOREST,WAYPOINT_DEFAULT,0,Waypoint default: Withywindle Valley,NO
T171,BREE,2,BREE_LAND,WAYPOINT_DEFAULT,4,Waypoint default: Forsaken Inn,NO
T172,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 156.2px away.,NO
T173,BREE,2,BREE_LAND,WAYPOINT_DEFAULT,4,Waypoint default: Staddle,NO
T174,,1,VALES_OF_ANDUIN,WAYPOINT_DEFAULT,0,Waypoint default: Old Ford,NO
T175,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Tuckborough,NO
T176,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T177,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Haysend,NO
T178,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Deephallow,NO
T179,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Michel Delving,NO
T180,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Greenholm,NO
T181,,0,,UNCLAIMED,0,Unclaimed contested border between HOBBIT and BLUE_MOUNTAINS.,NO
T182,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Willowbottom,NO
T183,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T184,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 305.1px away.,NO
T185,DUNEDAIN,0,LONE_LANDS,CORE_EXPANSION,1,Connected core expansion from T142; nearest clear faction anchor 42.4px away,NO
T186,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T187,,1,ERIADOR (DOWNS),WAYPOINT_DEFAULT,0,Waypoint default: South Downs,NO
T188,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T189,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Longbottom,NO
T190,DOL_GULDUR,2,MIRKWOOD,WAYPOINT_DEFAULT,4,Waypoint default: Rhosgobel,NO
T191,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 754.2px away.,NO
T192,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 186.3px away.,NO
T193,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T194,DOL_GULDUR,0,EAST_BIGHT,CORE_EXPANSION,1,Connected core expansion from T211; nearest clear faction anchor 48.9px away,NO
T195,,0,,UNCLAIMED,0,Unclaimed contested border between DORWINION and DALE.,NO
T196,HOBBIT,3,SHIRE,WAYPOINT_DEFAULT,6,Waypoint default: Sarn Ford,NO
T197,DOL_GULDUR,0,MIRKWOOD,CORE_EXPANSION,1,Connected core expansion from T190; nearest clear faction anchor 50.1px away,NO
T198,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T199,RHUDEL,0,RHUDEL,CORE_EXPANSION,1,Connected core expansion from T244; nearest clear faction anchor 91.1px away,NO
T200,,0,,UNCLAIMED,0,Unclaimed contested border between BREE and DUNEDAIN.,NO
T201,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T255 is 137.3px away.,NO
T202,BLUE_MOUNTAINS,2,BLUE_MOUNTAINS,WAYPOINT_DEFAULT,4,Waypoint default: Thrain's Halls,NO
T203,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T204,,1,ERIADOR,WAYPOINT_DEFAULT,0,Waypoint default: Greenway Crossroads,NO
T205,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T206,HIGH_ELVES,3,LINDON,WAYPOINT_DEFAULT,6,Waypoint default: Harlond,NO
T207,LOTHLORIEN,0,LOTHLORIEN,CORE_EXPANSION,1,Connected core expansion from T237; nearest clear faction anchor 62.0px away,NO
T208,DUNEDAIN,0,LONE_LANDS,CORE_EXPANSION,1,Connected core expansion from T217; nearest clear faction anchor 49.6px away,NO
T209,DORWINION,0,WILDERLAND,CORE_EXPANSION,1,Connected core expansion from T241; nearest clear faction anchor 77.8px away,NO
T210,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 361.2px away.,NO
T211,DOL_GULDUR,1,EAST_BIGHT,WAYPOINT_DEFAULT,2,Waypoint default: East Bight,NO
T212,DOL_GULDUR,0,MIRKWOOD,CORE_EXPANSION,1,Connected core expansion from T190; nearest clear faction anchor 57.6px away,NO
T213,RHUDEL,0,RHUDEL,CORE_EXPANSION,1,Connected core expansion from T244; nearest clear faction anchor 57.2px away,NO
T214,RHUDEL,0,RHUDEL,CORE_EXPANSION,1,Connected core expansion from T244; nearest clear faction anchor 86.0px away,NO
T215,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T216,DORWINION,0,DORWINION,CORE_EXPANSION,1,Connected core expansion from T255; nearest clear faction anchor 95.4px away,NO
T217,DUNEDAIN,1,LONE_LANDS,WAYPOINT_DEFAULT,2,Waypoint default: Old Elven Way,NO
T218,GUNDABAD,1,EREGION,WAYPOINT_DEFAULT,2,Waypoint default: Ost-in-Edhil,NO
T219,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 292.6px away.,NO
T220,GUNDABAD,1,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Mount Caradhras,NO
T222,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 583.0px away.,NO
T223,GUNDABAD,1,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Mount Fanuidhol,NO
T224,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 167.1px away.,NO
T225,RHUDEL,0,RHUDEL,CORE_EXPANSION,1,Connected core expansion from T244; nearest clear faction anchor 48.8px away,NO
T226,DORWINION,0,DORWINION,CORE_EXPANSION,1,Connected core expansion from T255; nearest clear faction anchor 57.4px away,NO
T227,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 882.0px away.,NO
T228,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T229,,1,ERIADOR,WAYPOINT_DEFAULT,0,Waypoint default: Tharbad,NO
T230,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T231,LOTHLORIEN,3,LOTHLORIEN,WAYPOINT_DEFAULT,6,Waypoint default: Cerin Amroth,NO
T232,GUNDABAD,1,MISTY_MOUNTAINS,WAYPOINT_DEFAULT,2,Waypoint default: Mount Celebdil,NO
T233,LOTHLORIEN,1,VALES_OF_ANDUIN (HILLS),WAYPOINT_DEFAULT,2,Waypoint default: Dimrill Dale,NO
T234,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 410.7px away.,NO
T235,,1,WILDERLAND,WAYPOINT_DEFAULT,0,Waypoint default: Old Rhovanion,NO
T236,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 354.3px away.,NO
T237,LOTHLORIEN,3,LOTHLORIEN,WAYPOINT_DEFAULT,6,Waypoint default: Caras Galadhon,NO
T238,DOL_GULDUR,0,EAST_BIGHT,CORE_EXPANSION,1,Connected core expansion from T211; nearest clear faction anchor 52.1px away,NO
T239,GUNDABAD,1,EREGION,WAYPOINT_DEFAULT,2,Waypoint default: West Gate,NO
T240,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T241,DORWINION,1,WILDERLAND,WAYPOINT_DEFAULT,2,Waypoint default: Dorwinion Crossroads,NO
T242,DOL_GULDUR,0,EAST_BIGHT,CORE_EXPANSION,1,Connected core expansion from T211; nearest clear faction anchor 105.4px away,NO
T243,DORWINION,0,WILDERLAND,CORE_EXPANSION,1,Connected core expansion from T241; nearest clear faction anchor 39.2px away,NO
T244,RHUDEL,2,RHUDEL,WAYPOINT_DEFAULT,4,Waypoint default: Bazylan,NO
T245,HIGH_ELVES,3,LINDON,WAYPOINT_DEFAULT,6,Waypoint default: Harlindon,NO
T246,DOL_GULDUR,3,MIRKWOOD (DOL_GULDUR),WAYPOINT_DEFAULT,8,Waypoint default: Dol Guldur (Captial),NO
T247,LOTHLORIEN,3,LOTHLORIEN,WAYPOINT_DEFAULT,6,Waypoint default: House of Nimrodel,NO
T248,,0,,UNCLAIMED,0,Unclaimed buffer for balance; not part of a connected core expansion.,NO
T249,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 383.5px away.,NO
T250,LOTHLORIEN,0,LOTHLORIEN,CORE_EXPANSION,1,Connected core expansion from T237; nearest clear faction anchor 49.0px away,NO
T251,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 227.1px away.,NO
T252,,0,,UNCLAIMED,0,Unclaimed contested border between GUNDABAD and DUNEDAIN.,NO
T253,LOTHLORIEN,0,VALES_OF_ANDUIN (CELEBRANT),CORE_EXPANSION,1,Connected core expansion from T266; nearest clear faction anchor 31.8px away,NO
T254,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T244 is 288.0px away.,NO
