# KOME gameplay defaults 1
from,to,type
T112,T168,open
T112,T176,open
T112,T181,open
T113,T117,open
T113,T120,river
T113,T128,river
T114,T184,open
T115,T117,open
T115,T125,bridge
T115,T162,open
T116,T126,river
T116,T132,open
T116,T139,river
T116,T140,river
T116,T143,open
T116,T144,open
T116,T145,river
T116,T164,open
T116,T170,open
T116,T171,open
T116,T186,open
T117,T128,bridge
T117,T153,open
T117,T162,open
T117,T193,river
T118,T124,open
T118,T163,open
T118,T172,open
T119,T121,river
T119,T161,bridge
T120,T128,river
T121,T161,river
T122,T128,open
T122,T155,open
T122,T197,open
T123,T130,open
T123,T142,open
T123,T185,open
T124,T172,open
T124,T184,river
T124,T192,river
T125,T162,river
T125,T165,open
T125,T198,open
T126,T131,open
T126,T139,open
T127,T133,open
T128,T138,open
T128,T155,open
T128,T159,open
T128,T193,open
T130,T141,bridge
T130,T147,river
T130,T185,open
T130,T188,river
T131,T134,bridge
T131,T139,river
T131,T146,open
T132,T136,open
T132,T149,open
T132,T171,open
T132,T187,open
T132,T200,open
T133,T141,open
T133,T174,open
T134,T135,open
T134,T146,river
T134,T148,open
T134,T150,open
T134,T160,open
T135,T148,open
T135,T176,open
T135,T180,open
T136,T142,bridge
T136,T185,river
T136,T200,open
T138,T193,open
T139,T140,open
T139,T146,river
T139,T158,river
T139,T167,bridge
T140,T145,river
T140,T152,bridge
T141,T147,river
T141,T188,river
T142,T185,open
T143,T145,open
T143,T166,open
T143,T170,open
T144,T157,open
T144,T164,open
T144,T171,open
T145,T152,bridge
T146,T150,bridge
T146,T158,river
T147,T188,open
T148,T179,open
T148,T180,open
T149,T171,open
T150,T158,open
T150,T160,open
T152,T167,open
T152,T169,open
T153,T162,open
T153,T193,river
T155,T159,open
T155,T190,open
T155,T197,open
T156,T191,open
T156,T222,open
T157,T164,open
T157,T171,open
T157,T173,open
T158,T160,open
T158,T167,open
T158,T175,open
T159,T190,open
T159,T193,open
T159,T194,open
T160,T175,open
T160,T179,open
T162,T193,river
T162,T195,bridge
T162,T198,river
T163,T165,open
T163,T172,open
T163,T199,open
T163,T201,open
T163,T215,open
T164,T173,open
T164,T186,open
T165,T198,open
T165,T201,open
T166,T169,river
T166,T170,open
T166,T177,open
T167,T169,open
T167,T175,open
T167,T182,open
T168,T181,open
T168,T202,open
T168,T206,open
T169,T178,bridge
T169,T182,river
T170,T177,open
T170,T183,river
T170,T186,open
T171,T173,open
T171,T187,open
T172,T192,river
T172,T199,open
T173,T187,open
T174,T197,bridge
T174,T207,river
T175,T179,open
T175,T189,open
T176,T180,open
T176,T181,open
T176,T205,open
T177,T178,open
T177,T183,river
T177,T189,river
T178,T182,open
T178,T189,river
T179,T180,open
T179,T189,open
T180,T189,open
T180,T205,open
T181,T202,open
T181,T205,open
T182,T189,river
T183,T186,open
T183,T189,river
T183,T196,river
T184,T192,open
T184,T210,river
T184,T219,river
T184,T224,river
T185,T188,river
T185,T200,river
T185,T208,river
T185,T217,river
T186,T187,open
T186,T196,river
T186,T200,open
T186,T203,open
T186,T204,open
T187,T200,open
T188,T217,open
T188,T218,open
T189,T196,open
T189,T205,open
T190,T194,open
T190,T197,open
T190,T212,open
T191,T222,open
T191,T227,river
T191,T269,river
T192,T199,river
T192,T213,river
T192,T214,river
T192,T224,river
T193,T194,open
T193,T195,open
T193,T211,open
T193,T242,open
T193,T243,open
T194,T211,open
T194,T212,open
T195,T198,river
T195,T243,open
T196,T203,bridge
T196,T205,open
T197,T207,river
T197,T212,open
T197,T246,open
T197,T250,open
T198,T201,open
T198,T209,open
T198,T226,river
T198,T243,river
T199,T213,bridge
T200,T204,open
T200,T208,open
T200,T228,open
T200,T229,open
T201,T215,open
T201,T216,open
T202,T205,open
T203,T204,open
T203,T205,river
T203,T228,open
T204,T228,open
T205,T228,river
T205,T230,open
T206,T245,open
T207,T231,open
T207,T237,open
T207,T250,river
T208,T217,bridge
T208,T229,open
T208,T240,river
T209,T216,open
T209,T226,river
T210,T219,open
T210,T236,open
T211,T212,open
T211,T238,open
T211,T242,open
T212,T238,open
T212,T246,open
T213,T214,open
T213,T225,open
T213,T244,open
T214,T224,open
T214,T244,open
T214,T259,open
T214,T263,open
T215,T216,open
T215,T225,river
T216,T226,river
T217,T218,open
T217,T240,open
T217,T252,river
T218,T239,river
T219,T224,open
T219,T236,open
T219,T254,open
T220,T223,open
T220,T232,open
T222,T260,river
T222,T269,river
T223,T233,open
T224,T251,open
T224,T254,open
T224,T263,open
T225,T244,open
T226,T241,open
T226,T255,open
T227,T269,open
T227,T304,river
T228,T229,open
T228,T230,river
T228,T256,open
T228,T268,river
T229,T240,river
T229,T268,bridge
T230,T245,open
T230,T256,river
T231,T233,open
T231,T237,open
T231,T247,river
T231,T253,river
T232,T239,open
T233,T247,open
T234,T249,open
T235,T242,open
T236,T249,open
T236,T254,open
T236,T303,river
T237,T250,river
T237,T253,river
T238,T242,open
T238,T246,open
T238,T265,open
T239,T252,river
T240,T252,open
T240,T268,open
T241,T243,open
T241,T255,open
T242,T243,open
T242,T265,open
T242,T288,open
T243,T255,open
T243,T277,open
T243,T288,open
T244,T259,open
T244,T261,open
T244,T262,bridge
T246,T250,open
T246,T265,open
T246,T270,open
T247,T253,river
T247,T266,river
T249,T276,river
T249,T303,river
T250,T253,river
T250,T266,river
T250,T270,open
T252,T267,open
T252,T268,open
T252,T279,open
T253,T266,open
T254,T280,open
T254,T303,river
T255,T275,open
T255,T277,open
T256,T264,open
T256,T268,river
T256,T274,open
T256,T284,bridge
T256,T289,open
T259,T261,open
T259,T263,open
T259,T278,bridge
T259,T302,river
T261,T262,river
T261,T278,river
T261,T282,river
T261,T290,open
T262,T282,open
T263,T280,open
T263,T308,river
T265,T270,open
T265,T285,open
T265,T288,open
T266,T270,river
T266,T272,open
T266,T281,river
T266,T286,river
T267,T279,open
T268,T279,open
T268,T284,open
T268,T306,open
T268,T313,open
T269,T304,river
T269,T317,river
T270,T281,open
T270,T285,open
T272,T283,river
T272,T287,river
T273,T292,open
T273,T296,open
T275,T277,open
T275,T296,bridge
T276,T303,open
T276,T318,open
T277,T288,open
T277,T296,open
T277,T319,open
T277,T322,open
T278,T290,open
T278,T302,river
T279,T299,open
T279,T306,open
T280,T303,river
T280,T308,river
T280,T316,river
T281,T285,open
T281,T286,river
T281,T297,open
T282,T290,open
T282,T292,bridge
T282,T312,open
T283,T287,open
T283,T300,river
T284,T289,river
T284,T313,open
T285,T297,open
T285,T298,open
T285,T314,open
T285,T326,open
T286,T287,open
T286,T297,river
T286,T307,open
T286,T328,open
T287,T300,river
T287,T307,open
T288,T298,open
T288,T319,open
T288,T334,open
T290,T302,open
T290,T312,open
T292,T296,open
T292,T312,river
T296,T312,river
T296,T322,open
T296,T329,river
T297,T314,open
T297,T328,river
T298,T326,open
T298,T334,open
T299,T306,open
T299,T320,open
T300,T305,open
T300,T309,open
T300,T324,open
T300,T325,open
T302,T308,open
T302,T312,open
T302,T331,open
T302,T349,open
T303,T316,river
T303,T318,open
T303,T344,open
T303,T350,river
T304,T317,open
T304,T393,river
T304,T401,river
T305,T309,open
T305,T325,open
T306,T313,open
T306,T320,open
T306,T333,river
T307,T324,bridge
T307,T328,open
T308,T316,open
T308,T349,open
T308,T350,open
T309,T311,open
T309,T323,open
T309,T325,open
T310,T315,open
T311,T315,river
T311,T323,open
T312,T329,open
T312,T331,open
T313,T330,open
T313,T333,river
T313,T345,river
T313,T360,river
T314,T326,open
T314,T328,river
T315,T321,open
T316,T350,open
T317,T401,river
T318,T344,open
T318,T373,river
T319,T322,open
T319,T334,open
T320,T321,open
T320,T333,river
T320,T337,river
T321,T323,bridge
T321,T337,river
T322,T329,bridge
T322,T338,river
T323,T325,open
T323,T335,open
T323,T337,open
T324,T325,open
T324,T328,river
T324,T342,open
T324,T354,river
T325,T342,open
T326,T334,open
T326,T340,open
T326,T346,open
T326,T352,open
T328,T351,river
T328,T353,open
T328,T354,river
T328,T359,river
T329,T331,open
T329,T338,bridge
T330,T360,river
T331,T349,open
T331,T355,open
T331,T361,open
T332,T339,open
T333,T337,open
T333,T345,river
T337,T345,river
T338,T355,open
T340,T351,open
T340,T352,river
T342,T347,river
T342,T348,bridge
T344,T350,river
T344,T362,river
T344,T373,river
T345,T360,open
T346,T357,open
T347,T348,open
T348,T354,open
T349,T350,open
T349,T361,open
T349,T396,open
T349,T406,open
T350,T394,open
T350,T396,open
T351,T352,river
T351,T353,river
T351,T358,open
T351,T371,river
T352,T358,open
T352,T375,river
T353,T359,open
T353,T365,river
T353,T367,river
T353,T368,river
T353,T371,open
T354,T359,open
T355,T361,open
T355,T364,open
T355,T395,open
T355,T400,open
T356,T391,open
T357,T369,open
T357,T374,open
T357,T378,open
T357,T391,open
T358,T370,bridge
T358,T375,bridge
T358,T376,river
T359,T366,bridge
T360,T419,open
T361,T400,open
T361,T406,open
T361,T409,open
T362,T373,open
T362,T394,river
T362,T432,open
T363,T378,open
T363,T399,open
T364,T382,open
T364,T387,open
T364,T395,open
T364,T399,open
T364,T407,open
T365,T366,open
T365,T367,open
T367,T368,open
T368,T371,open
T369,T374,open
T369,T378,open
T369,T391,open
T370,T375,river
T370,T376,river
T370,T379,bridge
T371,T376,open
T372,T377,open
T372,T383,open
T373,T432,open
T375,T379,river
T375,T381,bridge
T375,T386,open
T375,T402,bridge
T376,T379,open
T377,T390,open
T377,T392,open
T378,T391,open
T378,T399,open
T378,T423,open
T379,T384,river
T379,T388,open
T380,T399,open
T381,T391,open
T381,T402,open
T382,T387,river
T382,T395,open
T382,T403,river
T382,T414,open
T383,T385,open
T383,T392,open
T384,T386,bridge
T384,T388,open
T384,T402,river
T385,T404,open
T386,T402,river
T387,T403,open
T387,T407,river
T388,T389,open
T388,T398,open
T389,T398,open
T389,T408,open
T390,T392,river
T390,T397,river
T390,T404,river
T390,T410,river
T391,T423,open
T392,T404,river
T393,T401,open
T393,T426,open
T393,T438,open
T393,T461,open
T394,T396,open
T394,T429,open
T394,T432,river
T395,T400,open
T395,T414,open
T395,T427,open
T396,T406,open
T396,T428,open
T397,T419,open
T398,T402,river
T398,T408,bridge
T399,T407,open
T399,T417,open
T399,T423,open
T400,T409,open
T401,T426,open
T401,T432,open
T401,T440,open
T401,T442,open
T402,T408,river
T402,T415,open
T403,T407,river
T403,T414,river
T404,T410,open
T404,T411,open
T404,T418,open
T406,T409,open
T406,T428,open
T406,T437,river
T407,T417,open
T408,T412,river
T408,T415,river
T408,T421,open
T409,T420,bridge
T409,T437,river
T410,T416,open
T410,T418,open
T410,T422,open
T411,T413,bridge
T411,T418,river
T412,T413,open
T412,T421,open
T412,T425,river
T412,T431,river
T412,T441,river
T413,T418,river
T413,T431,open
T414,T427,open
T414,T433,river
T415,T421,river
T415,T425,open
T415,T435,river
T416,T418,open
T416,T422,open
T417,T423,open
T417,T430,river
T417,T654,river
T418,T422,open
T420,T436,open
T420,T437,open
T421,T425,bridge
T425,T435,bridge
T425,T441,river
T426,T438,open
T426,T440,open
T427,T433,river
T428,T429,open
T428,T437,river
T428,T446,open
T429,T432,river
T429,T446,open
T430,T433,open
T430,T654,open
T431,T441,open
T432,T442,open
T432,T446,river
T432,T468,river
T433,T654,open
T435,T441,open
T435,T444,open
T436,T437,open
T436,T439,open
T436,T445,river
T436,T447,river
T437,T446,river
T437,T447,river
T438,T440,open
T438,T449,open
T438,T461,open
T439,T445,open
T440,T449,open
T440,T451,open
T441,T444,open
T441,T460,river
T441,T462,river
T443,T444,river
T443,T448,open
T443,T450,open
T444,T450,river
T444,T454,river
T444,T455,bridge
T444,T462,river
T445,T447,open
T445,T448,open
T446,T447,river
T446,T468,open
T448,T450,open
T448,T454,river
T448,T463,open
T448,T466,river
T449,T451,open
T449,T461,open
T449,T465,open
T450,T454,bridge
T451,T465,open
T451,T476,open
T452,T464,open
T454,T455,open
T454,T466,open
T455,T462,open
T455,T466,open
T457,T464,open
T457,T467,open
T460,T462,open
T460,T464,open
T460,T469,open
T461,T465,open
T461,T476,open
T462,T466,open
T462,T469,open
T463,T466,open
T464,T467,open
T464,T469,open
T465,T476,open
T467,T470,open
T468,T471,open
T469,T470,open
T469,T474,open
T469,T475,river
T470,T472,bridge
T470,T475,river
T471,T476,open
T471,T501,open
T472,T473,bridge
T472,T475,river
T473,T475,river
T473,T477,river
T473,T478,river
T474,T475,river
T474,T479,open
T475,T477,open
T475,T479,river
T476,T501,open
T477,T478,open
T477,T479,bridge
T477,T485,bridge
T477,T503,river
T478,T483,open
T478,T485,river
T478,T491,river
T479,T503,open
T480,T481,open
T480,T486,open
T481,T482,open
T481,T484,river
T481,T486,river
T482,T484,open
T482,T492,open
T483,T488,river
T483,T491,river
T484,T486,river
T484,T492,river
T485,T491,open
T485,T503,river
T486,T492,bridge
T486,T493,open
T487,T488,open
T487,T496,open
T488,T513,open
T489,T492,open
T490,T508,open
T491,T496,open
T491,T498,open
T491,T503,bridge
T491,T511,river
T492,T497,open
T493,T504,river
T493,T506,open
T494,T495,open
T496,T498,open
T496,T507,river
T496,T517,river
T497,T502,open
T498,T507,open
T498,T511,open
T500,T510,river
T500,T512,open
T500,T655,river
T502,T509,bridge
T502,T655,open
T503,T511,river
T503,T512,open
T503,T655,open
T504,T506,open
T506,T508,open
T507,T511,open
T507,T517,river
T507,T519,open
T507,T525,river
T509,T515,open
T509,T516,open
T509,T524,open
T509,T655,river
T510,T512,open
T510,T514,river
T510,T655,river
T511,T512,open
T511,T519,open
T511,T523,open
T512,T514,open
T512,T523,open
T512,T533,open
T512,T655,open
T513,T543,river
T514,T516,open
T514,T518,open
T514,T534,open
T514,T535,river
T514,T655,river
T515,T516,open
T515,T524,open
T516,T524,open
T516,T535,river
T516,T655,river
T517,T525,river
T517,T538,open
T518,T534,open
T518,T535,open
T519,T523,open
T519,T525,river
T519,T536,river
T523,T533,open
T523,T536,river
T523,T540,open
T524,T537,river
T525,T536,open
T525,T538,open
T533,T534,open
T533,T540,open
T534,T535,open
T534,T540,open
T534,T541,open
T535,T537,open
T535,T541,open
T535,T544,open
T536,T538,open
T536,T540,river
T536,T547,open
T536,T552,open
T536,T553,open
T537,T544,open
T537,T548,open
T537,T549,river
T538,T547,open
T540,T541,open
T540,T550,open
T540,T552,river
T541,T544,open
T541,T550,open
T541,T557,river
T542,T543,open
T542,T547,open
T543,T558,river
T544,T548,open
T544,T557,river
T547,T553,open
T548,T551,river
T548,T557,river
T549,T551,open
T549,T564,river
T549,T567,open
T550,T552,river
T550,T556,open
T550,T557,river
T551,T561,open
T551,T564,open
T551,T569,open
T551,T573,open
T552,T553,open
T552,T556,river
T552,T563,open
T552,T566,river
T552,T568,river
T554,T557,open
T554,T559,open
T554,T561,open
T555,T558,open
T556,T557,river
T556,T565,river
T556,T566,river
T557,T559,open
T557,T561,open
T557,T565,river
T557,T575,open
T558,T560,open
T558,T581,river
T560,T562,open
T560,T581,river
T561,T569,open
T561,T575,open
T563,T568,open
T564,T567,river
T564,T573,open
T565,T566,open
T565,T576,open
T566,T568,open
T566,T576,open
T566,T580,open
T566,T582,open
T566,T583,open
T567,T570,open
T567,T587,open
T568,T577,open
T568,T579,open
T568,T580,open
T569,T573,open
T569,T575,open
T572,T573,open
T573,T575,open
T573,T589,open
T574,T577,bridge
T574,T578,open
T574,T581,open
T574,T586,open
T575,T576,bridge
T575,T589,open
T576,T583,open
T576,T589,open
T577,T578,open
T577,T585,open
T577,T590,open
T578,T586,open
T578,T590,open
T579,T580,open
T579,T585,open
T580,T582,open
T580,T585,open
T580,T591,open
T581,T586,open
T581,T594,open
T582,T583,open
T582,T584,open
T582,T591,open
T583,T584,open
T583,T588,open
T583,T589,open
T584,T588,open
T585,T590,open
T585,T591,open
T585,T592,open
T586,T590,river
T586,T594,open
T588,T589,open
T588,T591,open
T588,T593,open
T589,T593,open
T589,T604,open
T590,T592,open
T590,T594,river
T590,T595,open
T590,T605,open
T591,T593,open
T591,T596,open
T591,T597,open
T591,T598,open
T592,T595,open
T593,T597,river
T593,T604,river
T594,T605,river
T595,T599,open
T595,T603,open
T595,T605,open
T595,T606,open
T596,T597,open
T596,T598,open
T596,T602,open
T596,T609,river
T596,T610,river
T597,T602,open
T597,T604,river
T597,T607,river
T598,T610,open
T598,T612,open
T599,T603,open
T599,T605,open
T599,T608,open
T600,T601,open
T600,T604,open
T600,T618,open
T602,T607,river
T602,T609,river
T603,T606,open
T603,T608,open
T603,T611,open
T604,T607,open
T604,T613,open
T604,T618,open
T605,T608,open
T605,T615,open
T606,T611,open
T606,T612,open
T607,T609,open
T607,T613,open
T608,T611,open
T608,T614,open
T608,T615,open
T608,T616,open
T609,T610,open
T609,T613,open
T609,T617,open
T609,T620,open
T610,T612,open
T610,T617,open
T611,T612,open
T611,T614,open
T611,T621,open
T612,T619,open
T612,T621,open
T612,T623,open
T613,T618,open
T613,T620,open
T614,T616,open
T614,T621,open
T614,T624,open
T615,T616,open
T615,T624,open
T615,T634,open
T616,T624,open
T617,T619,open
T617,T620,open
T617,T622,open
T618,T620,open
T618,T633,open
T619,T622,open
T619,T623,open
T619,T625,open
T620,T622,open
T620,T626,open
T620,T633,open
T621,T623,open
T621,T624,open
T621,T627,open
T621,T630,open
T622,T625,open
T622,T626,open
T622,T628,open
T622,T629,open
T623,T625,open
T623,T627,open
T624,T630,open
T624,T631,open
T624,T634,open
T625,T627,open
T625,T628,open
T626,T629,open
T626,T633,open
T627,T628,open
T627,T630,open
T627,T632,open
T628,T629,open
T628,T632,open
T628,T635,open
T628,T640,open
T629,T633,open
T629,T635,open
T630,T631,open
T630,T632,open
T630,T639,open
T631,T634,open
T631,T639,open
T632,T639,open
T632,T640,open
T632,T646,open
T633,T635,open
T633,T637,open
T633,T648,open
T634,T639,open
T634,T642,open
T634,T647,open
T635,T640,open
T635,T645,open
T635,T648,open
T636,T642,open
T637,T648,open
T638,T642,open
T639,T646,open
T639,T647,open
T640,T645,open
T640,T646,open
T642,T647,open
T643,T644,open
T645,T646,open
T645,T648,open
T645,T649,open
T646,T647,open
T646,T649,open
T647,T649,open
T648,T649,open
T649,T651,open
T649,T652,open
